name01#0,"""Сиерра"""
11_voice_train_04001#0,"""Привет!<br>Сейчас мы с вами приступим<br>к тренировке по основам<br>парных клинков!"""
text02#0,"""Этуаль - <red>класс-преемник защиты<br>и поддержки в дополнение<br>к атакам ближнего боя<c>."""
text03#0,"""Этот класс использует<br>три оружия: <red>двойную глефу,<br>парные клинки и ванд<c>."""
text04#0,"""В этой части мы с вами освоим<br>боевые приёмы этуаля<br>с парными клинками.<br>Итак, приступим!"""
text05#0,"""Парные клинки этуаля способны <br><red>отлично игнорировать урон без<br>необходисоти прекращать атаку<c>."""
text06#0,"""Действие оружия парных клинков<br>выполняет два действия.<br>Первое - <red>\""Parry\""<c>."""
text07#0,"""При использовании действия<br>оружия прямо перед получением<br>атаки от врага, <red>то можно<br>заблокировать атаку и<br>нанести ответный удар<br>одновременно<c>."""
text08#0,"""\""Parry\"" <red>можно использовать<br>как в движении, так и при атаке<c>!<br>Давайте попробуем выполнить<br>его прямо сейчас!"""
text101#0,"""1-я задача: <yellow>Используйте \""Parry\"", чтобы игнорировать атаку врага<c>"""
train_title#0,"""1-я задача: <yellow>Использовать \""Parry\"", чтобы игнорировать атаку врага<c>"""
tut_title#0,"""パリィについて"""
text100#0,"""・Прямо перед атакой врага<br>・Действие оружия <%WeaponAction>"""
text100_3b#0,"""・Прямо перед атакой врага<br>・Действие оружия <%MainPaletteC>"""
tut_win_title#0,"""Действие оружия парных клинков этуаля"""
tut_win_text100#0,"""Этуаль с парными клинками может защищаться от атак<br>со всех сторон с помощью действия оружия \""Parry\"",<br>и в случае успеха при защите, активируется<br>контр-атака.<br><br>Это действие оружия также можно использовать<br>во время Фотон Артов либо при предотвращении<br>попаданий атак врагов, чтобы не останавливать<br>собственную атаку."""
tut_win_text101#0,"""Step Edge<br><yellow>・Во время Step'ов можно брсать лезвия,<br>чтобы атаковать врагов на расстоянии<c>.<br><br>Используйте это как выгодную возможность<br>для дополнительной атаки."""
