name01#0,"""Сиерра"""
text01#0,"""А теперь я объясню вам принцип<br>действия Gear парных клинков!"""
text02#0,"""Для начала давайте накопим Gear!<br>Он постоянно накапливается<br>во время атаки по врагам!"""
text101#0,"""2-я задача: <yellow>Атакуя врагов, накопите Gear<c>"""
train_title#0,"""2-я задача: <yellow>Атакуя врагов, накопить Gear<c>"""
tut_title#0,"""Gear парных клинков этуаля"""
text100#0,"""・Атакуйте и накапливайте Gear"""
tut_win_title#0,"""Gear парных клинков этуаля"""
tut_win_text100#0,"""После изучения классового умения этуаля<br>\""Etoile Dual Blade Gear\"",<br>появится шкала Gear над палитрой оружия<br>при выборе парных клинков.<br><br>Шкала Gear будет увеличиваться при атаке врага,<br>и при превышении определённого урона, можно<br>будет активировать мощную атаку называемую \""Connect\"".<br><br>А также, при полной зарядке Gear, вы можете<br>активировать особый мощный приём \""Full Connect\""."""
tut_win_text101#0,"""Connect<br><yellow>・При накоплении 50% или более всей шкалы Gear,<c><br>можно активировать действие оружия и израсходовать<br>50% шкалы Gear, чтобы соеденить парные клинки и выполнить<br>мощную атаку.<br><br>Full Connect<br><yellow>・Когда шкала Gear полностю заполняется,<br>после зарядки Connect можно активировать<br>действие оружия, при котором израсходуется<br>весь Gear для нанесения одного мощного удара.<c><br>Старайтесь пользоваться этим."""
tut_vita_text100#0,"""スキル「エトワールデュアルブレードギア」を<br>習得することで専用のギアが追加されます。<br><br>ギアゲージはエネミーを攻撃することで増加し<br>ギアゲージが一定以上になると<br>強力な攻撃「コネクト」を<br>発動させることができます。<br><br>また、すべてのギアゲージを消費して<br>更に強力な必殺技「フルコネクト」を<br>発動させることもできます。"""
tut_vita_text101#0,"""「コネクト」<br><yellow>・ギアゲージが50％以上のとき<br> ステップエッジ後、武器アクションを発動<c><br>ギアゲージの50％を消費して<br>デュアルブレードとエッジを連結させ<br>広範囲へ強力な攻撃を行います。<br><br>「フルコネクト」<br><yellow>・ギアゲージが最大状態のとき<br> コネクト後、更に武器アクションを発動<c><br>すべてのギアゲージを消費して<br>渾身の一撃を叩き込む必殺技です。<br>ここぞという場面で使用しましょう。"""
