name01#0,"""Сиерра"""
text01#0,"""Некоторые классовые умения,<br>после изучения, <red>изменяют<br>вижения двойной глефы<c>!"""
text02#0,"""Одно из них называется<br><red>\""Skip Arts\""<c>."""
text03#0,"""При изучении \""Skip Arts\"",<br>вы сможете <red>пропустить<br>первую половину Фотон Арта<br>и быстро активировать вторую<c>!"""
text04#0,"""При использовании Фотон Артов<br>с зажатой клавишей направления,<br>то даже при изученном<br><red>\""Skip Arts\""<c>, Фотон Арт<br>активируется с первой<br>половины."""
text05#0,"""Если использовать Фотон Арты<br>без зажатия клавиши направления,<br>то вы активируете <red>вторую<br>половину Фотон Арта<c>!"""
text06#0,"""Для начала, давайте попробуем<br>использовать <red>обычный Фотон Арт<br>с зажатией клавиши направления<c>!"""
text101#0,"""3-я задача: <yellow>Используйте Фотон Арт с зажатой клавишей направления<c>"""
train_title#0,"""3-я задача: <yellow>Использовать Фотон Арт с зажатой клавишей направления<c>"""
tut_title#0,"""Фотон Арты"""
text100#0,"""・Клавиша направления движения<br>・Фотон Арт <%PhotonArts>"""
tut_win_title#0,"""Умения двойной глефы этуаля"""
tut_win_text100#0,"""Двойная глефа этуаля обладает множеством умений,<br>позволяющих выполнять особые действия.<br>Тщательно выбирайте умения и настраивайте<br>действия оружия двойной глефы этуаля, чтобы они<br>соответствовали вашему стилю боя.<br><br>Step Slide двойной глефы<br><yellow>・Во время Step, снова выполните Step,<c><br>чтобы перейти к плавному движению,<br>которое позволит вам контролировать<br>направление.<br>※Скорость движения увеличена, пока вы нацелены."""
tut_win_text101#0,"""Skip Arts двойной глефы<br><yellow>・Если при использовании Фотон Арта<br>не нажимать клавишу направления,<br>то можно пропустить первую половину Фотон Арта<c>.<br><br><yellow>・Если во время использования Фотон Арта<br>зажать клавишу направления, то Фотон Арт<br>будет работать также, как если бы умение<br>\""Skip Arts\"" не было изучено<c>."""
tut_win_text102#0,"""Quick Take двойной глефы<br><yellow>・После Фотон Арта или действия оружия<br>при использовании Фотон Арта<br>или действия оружия с нацеливанием,<br>персонаж быстро летит на противника<br>чтобы нанести удар<c>.<br><br>Step Guard двойной глефы<br><yellow>・При подходе к врагу, когда тот собирается ударить,<br>выполните Just Guard, чтобы защититься от удара<br>и провести скоростную контр-атаку<c>."""
