name_7004#0,"""ครอว์ฟอร์ด (Crawford)"""
msn_031010_0010#0,"""ว่างอยู่หรือเปล่า? พวกเรามีเรื่องฉุกเฉินต้องจัดการน่ะ"""
msn_031010_0020#0,"""พวกเรายืนยันได้ถึงความผันผวนของพลังงานมหาศาลบนท้องฟ้าเหนือฮาลฟา (Halpha) น่ะ"""
msn_031010_0030#0,"""มีความเป็นไปได้สูงมากที่อีกไม่นานจะได้เห็นการปรากฏตัวอีกครั้งของ 'Vael' ที่เซเฟตโต้ (Zephetto) เคยพูดถึงน่ะ"""
msn_031010_0040#0,"""เพื่อต่อกรกับภัยคุกคามนี้ จะส่ง ARKS ทุกคนที่พร้อมออกไปสกัดกั้นน่ะ"""
msn_031010_0050#0,"""อยากจะให้เธอเป็นหัวหอกของหน่วยสกัดกั้นนี้น่ะ"""
msn_031010_0060#0,"""รับทราบ!"""
msn_031010_0070#0,"""ปล่อยให้เป็นหน้าที่ฉันเอง!"""
msn_031010_0080#0,"""เยี่ยมไปเลย เป็นคำตอบที่หวังไว้เลยล่ะ"""
msn_031010_0090#0,"""พวกเราจะเฝ้าสังเกตการณ์ความปั่นป่วนของพลังงานต่อไปก่อนนะ"""
msn_031010_0100#0,"""...พวกเรายังได้รับรายงานการโจมตีของพวก Starless จากทั่วทุกมุมของฮาลฟา (Halpha) ด้วย"""
msn_031010_0110#0,"""เพื่อต่อสู้กับพวกมัน ARKS จากทุกภูมิภาคกำลังประสานงานกับกองกำลังเอลิโอ (Aelio) ที่เพิ่งตั้งขึ้นใหม่น่ะ"""
msn_031010_0120#0,"""ไอน่าและมาน่อนได้รับมอบหมายให้รับผิดชอบแนวรบนั้นล่ะ"""
msn_031010_0130#0,"""อยากให้เธอจดจ่ออยู่กับการโค่น 'Vael' เพียงอย่างเดียวนะ ผู้พิทักษ์ (Guardian)"""
