11_voice_NPC_5050_104#0,"""The cuties on the ARKS Ship are evaluating the value of the black cat...?"""
Kuro_01_020#0,"""I do not partake in personal conversations during my mission. Excuse me. """
Kuro_01_030#0,"""...I will, however, emphasize one thing..."""
Kuro_01_040#0,"""I'd really quite like it to stop screaming \""Hey lady, step on me will you meeeoooowwww!\"" every time I walk by."""
Kuro_01_050#0,"""That's it. Now, I am on a mission, so I must leave you. """
11_voice_NPC_5050_104#1,"""How were the Practice Quests from the ARKS Training Center?"""
itsuki_01_020#0,"""各クラスの基本的な立ち回りや<br>フォトンアーツやテクニックの<br>使い方などの確認ができます。"""
itsuki_01_030#0,"""それぞれの練習クエストは<br>何度でも挑戦可能ですので<br>心行くまでお試しください。"""
itsuki_01_040#0,"""I look forward to seeing whatever you prepare against enemies."""
Npc50_01_010#0,"""I'm working at the moment, so I try to avoid non-mission related conversations. Excuse me. """
Npc50_02_010#0,"""I'm working at the moment, so I try to avoid non-mission related conversations. Excuse me. """
Npc50_03_010#0,"""We try to keep ARKS regulations as relaxed and flexible as possible. We want ARKS to be an inviting endeavor."""
Npc50_03_020#0,"""On the other hand, there are strict requirements for developing your abilities, and you must put in a lot of work to make progress. A type of candy and a whip. """
Npc50_04_010#0,"""We try to keep ARKS regulations as relaxed and flexible as possible. We want ARKS to be an inviting endeavor."""
Npc50_04_020#0,"""On the other hand, there are strict requirements for developing your abilities, and you must put in a lot of work to make progress. A type of candy and a whip. """
Npc50_05_010#0,"""We try to keep ARKS regulations as relaxed and flexible as possible. We want ARKS to be an inviting endeavor."""
Npc50_05_020#0,"""On the other hand, there are strict requirements for developing your abilities, and you must put in a lot of work to make progress. A type of candy and a whip. """
Npc50_06_010#0,"""The Council serve as model ARKS members, but they are selected based on their abilities alone."""
Npc50_06_020#0,"""Combat ability alone doesn't make the best role models, after all. We have only been set up for some 40 years or so. There are quite a lot of young people still in the current generation."""
Npc50_06_030#0,"""We at least, as officers, must conduct ourselves with discipline and decorum. That is what our position calls for."""
Npc50_07_010#0,"""The Council serve as model ARKS members, but they are selected based on their abilities alone."""
Npc50_07_020#0,"""Combat ability alone doesn't make the best role models, after all. We have only been set up for some 40 years or so. There are quite a lot of young people still in the current generation."""
Npc50_07_030#0,"""We at least, as officers, must conduct ourselves with discipline and decorum. That is what our position calls for."""
Npc50_08_010#0,"""The Council serve as model ARKS members, but they are selected based on their abilities alone."""
Npc50_08_020#0,"""Combat ability alone doesn't make the best role models, after all. We have only been set up for some 40 years or so. There are quite a lot of young people still in the current generation."""
Npc50_08_030#0,"""We at least, as officers, must conduct ourselves with discipline and decorum. That is what our position calls for."""
11_voice_NPC_5050_104#2,"""When it comes to Dark Falz, I don't hold much information either. """
Npc50_mb9_020#0,"""So I wouldn't be able to answer any questions you may have. ...my humble apologies. """
11_voice_NPC_5050_104#3,"""When it comes to Dark Falz, I don't hold much information either. """
Npc50_mb10_020#0,"""So I wouldn't be able to answer any questions you may have. ...my humble apologies. """
11_voice_NPC_5050_100#0,"""It seems that there have been numerous tournaments like the Battle Championship that were held in the past."""
Npc50_mb11_020#0,"""Though as far as the rules are concerned, they were different for each one. So they're not really good reference points. """
11_voice_NPC_5050_100#1,"""The back up force for ARKS are evolving daily. I think it helps a great deal."""
Npc50_mb12_020#0,"""I really wish they'd hurry and recruit some more. But keeping security in mind, this pace is best.<br>...I can't do much about it, but I do apologize. """
11_voice_NPC_5050_100#2,"""The back up force for ARKS are evolving daily. We're talking new classes and new skills. """
Npc50_mb13_020#0,"""I really wish they'd hurry and recruit some more. But keeping security in mind, this pace is best.<br>...I can't do much about it, but I do apologize. """
11_voice_NPC_5050_100#3,"""The back up force for ARKS are evolving daily. We're talking new classes and new skills. """
Npc50_mb14_020#0,"""I really wish they'd hurry and recruit some more. But keeping security in mind, this pace is best.<br>...I can't do much about it, but I do apologize. """
11_voice_NPC_5050_101#0,"""The skill sets of individual ARKS members are growing exponentially. """
Npc50_mb15_020#0,"""To have an increased number of skilled members is something to be celebrated as an organization. """
Npc50_mb15_030#0,"""It's too sweet a story to not leave one behind, but we endeavor to get as close to this as possible. """
11_voice_NPC_5050_100#4,"""...in terms of ARKS management, we are still in the process of tweaking it. """
Npc50_mb16zeno_020#0,"""But do be reassured. There will not be instances that will undermine you. I will not let that happen. """
Npc50_mb18_010#0,"""アークスの管理状況について<br>少しずつ落ち着いてきました。"""
11_voice_NPC_5050_104#4,"""ですが全ての対応を終了するには<br>まだ時間がかかりそうです。<br>もう少し、お待ちください。"""
Npc50_mb19_010#0,"""アークスの管理状況ですが<br>新体制に向けての準備が<br>ようやく整いました。"""
Npc50_mb19_020#0,"""今後は万全の体制で、アークスを<br>全面的にバックアップしていきます。"""
Npc50_mb19_030#0,"""とはいえ、まだ始まったばかりです。<br>改善点など多くあるはずです。<br>その時は遠慮なく、言ってください。"""
mb19before_010#0,"""浮上施設への渡航許可ですか？<br>規定の条件を満たしていれば<br>承認しております。"""
mb19before_020#0,"""その条件は、クライアントオーダー<br>『適正能力審査試練・白ノ領域』<br>を達成する事となっております。"""
mb19before_030#0,"""こちらのクライアントオーダーは<br>私が発行しておりますが"""
mb19before_040#0,"""受注条件として、クエストの<br>『白ノ領域探索』が受注可能である<br>必要がありますのでご留意ください。"""
mb21before_010#0,"""採掘場跡への探索許可ですか？<br>規定の条件を満たしていれば<br>承認しております。"""
mb21before_020#0,"""その条件は、クライアントオーダー<br>『適正能力審査試練・海岸』<br>を達成する事となっております。"""
mb21before_030#0,"""こちらのクライアントオーダーは<br>私が発行しておりますが"""
mb21before_040#0,"""受注条件として、クエストの<br>『海岸探索』が受注可能である<br>必要がありますのでご留意ください。"""
Npc50_mb22_010#0,"""新体制へ変わったことによる<br>問題や障害などは、特に起きてません。"""
Npc50_mb22_020#0,"""ですが、問題が無いわけではなく<br>いくつか改善案や見直しは<br>出てきております。"""
Npc50_mb22_030#0,"""もちろん全ての案を採用するわけでは<br>ありませんが、頂いた意見を参考に<br>より良い組織づくりを心がけています。"""
11_voice_NPC_5050_104#5,"""現在、起きてる問題について<br>アークス全体で対応をするべく<br>動いております。"""
Npc50_mb23_after_020#0,"""公開されている以上の情報は<br>入っていないため、お待ちください。<br>情報が入り次第、必ず知らせます。"""
Npc50_mb23_after_030#0,"""あと、これは貴方宛に連絡です。<br>あまり無理をなさらないように。<br>私からは以上です。"""
11_voice_NPC_5050_104#6,"""現在、公開されている以上の情報は<br>もたらされておりません。"""
Npc50_mb24_020#0,"""せめてもう少し<br>進展があれば良いのですが……<br>お力になれず、申し訳ありません。"""
Npc50_mb24_030#0,"""情報を含め、何か進展があり次第<br>すぐに連絡をします。<br>今しばらく、お待ちください。"""
Npc50_mb24_after_010#0,"""今回、適切な情報開示により<br>アークス全体が共通の問題を認識し<br>的確な対応を取れました。"""
Npc50_mb24_after_020#0,"""一人ひとりのアークスが迅速かつ<br>適時適切な対応を取れることは<br>組織にとっても理想的です。"""
11_voice_NPC_5050_100#5,"""より盤石な組織を形成していくためにも<br>積極的な情報開示は行っていきたいと<br>思っています。"""
Npc50_mb25_010#0,"""シャオの持つ管理権限等の移行へ向けて<br>現在、準備を行っております。"""
Npc50_mb25_020#0,"""それに伴う管理体制の調整や変更が<br>終わり次第、改めて連絡をします。<br>もう暫くお待ちください。"""
st01_010#0,"""<%me>さん。<br>復帰、おめでとうございます。"""
st01_020#0,"""総司令からの承認もおりています。<br>アークスとして、これまで以上の<br>活躍を期待しています。"""
st01_030#0,"""それと……おかえりなさい。<br>お待ちしていましたよ。"""
11_voice_NPC_5050_100#6,"""復帰早々、大変なご様子。<br>あまり無理はなさらぬように。"""
st01_020#1,"""フィリアがいつもハラハラしていて<br>見ていて楽しいのですが<br>少し可哀想でもあるので。"""
11_voice_NPC_5050_104#7,"""地球での任務もそうですが<br>難易度の高い任務や問題は<br>いつも貴方に任せてしまっています。"""
st01_020#2,"""それだけ貴方やマトイさんの能力が<br>突出しているというのもありますが<br>もう少し改善できればと考えています。"""
st01_030#1,"""できれば、もう……<br>コールドスリープが必要なほどの<br>治療は受けてほしくはないですから。"""
od04031805_010#0,"""どうされましたか？<br>……ああ、クロトさんから<br>依頼されていた件ですね。"""
od04031805_020#0,"""バトルアリーナでの対戦データは<br>多くの個人情報を含みますから<br>限られた者しかアクセスできません。"""
od04031805_030#0,"""クロトさんには、後進の育成目的に限り<br>私達が閲覧できる情報の一部を<br>特別に開示しております。"""
od04031805_040#0,"""……はい、今回の対戦結果を<br>クロトさんにお送りしました。<br>今後も、一層の活躍を期待しています。"""
sq00_010#0,"""ついにこの時が……<br>私達も全力でサポートします。"""
sq01_010#0,"""問題はいろいろとありますが<br>それはこれから考えればいいこと。<br>まずは、無事の帰還を喜びましょう。"""
sq02_010#0,"""どのような状況であろうとも<br>私は皆さんを支える職務に<br>専心するだけです。"""
11_voice_NPC_5050_104#8,"""Regarding the Goddess of Demise, we have made counteracting her our top priority."""
ep6_sq00_02#0,"""We are also reviewing our defenses for any possible deficiencies that she could have exploited to gain access to the ship."""
ep6_sq01_01#0,"""We are assisting Xiera with matters such as navigation and control."""
11_voice_NPC_5050_104#9,"""The modifications we have made to the system have turned out to be quite useful...<br>Though it's hardly what they were intended for."""
ep6_sq02_01#0,"""The temporary management system was able to operate without any issues in Xiao's absence. This is likely due to our recent organisational changes."""
ep6_sq02_02#0,"""Delegation of various duties and transparency improvements to information flow are in progress. Furthermore, individual ARKS are contributing by making their own individual operational decisions..."""
11_voice_NPC_5050_101#1,"""...In other words, our organization is evolving into a more decentralized form, more capable of supporting individual operatives."""
ep6_sq02_01_01#0,"""Regarding our management system, we will continue to operate it so that we are prepared in case Xiao is ever indisposed again."""
ep6_sq02_01_02#0,"""Our situation demands a flexible response, and we must be ready to take action in the event of Xiao's absence."""
text01#0,"""I am glad you returned safely. Thank you for all your hard work."""
text02#0,"""Now that we have overcome this crisis, the emergency system will likely be shut down. However, I will continue to support you."""
