msc_012140_0010#0,"""……。"""
msc_012140_0020#0,"""Manon, ¿qué pasa?"""
msc_012140_0030#0,"""Ustedes tres..."""
msc_012140_0040#0,"""Perdón por la intromisión. Nos dimos cuenta de este lugar cuando salimos de la ciudad..."""
msc_012140_0050#0,"""¿Este lugar es...?"""
msc_012140_0060#0,"""Sí. Y estos son monumentos... para nuestros defensores de ARKS."""
msc_012140_0070#0,"""Enumeran los nombres de los guerreros que han caído."""
msc_012140_0080#0,"""………。"""
msc_012140_0090#0,"""Cada monumento contiene aproximadamente mil nombres... más o menos."""
msc_012140_0100#0,"""Así que... tanta gente..."""
msc_012140_0110#0,"""Si pudiéramos evitar que se añadiera un solo nombre más aquí... Yo... no, NOSOTROS... valoramos mucho a nuestros soldados."""
msc_012140_0120#0,"""Yo... debo hacerme más fuerte."""
msc_012140_0130#0,"""………。"""
