msc_012240_0010#0,"""Oh... Ahí está."""
msc_012240_0020#0,"""Siento haberme ido sin decir nada. Necesitaba tomar<br>algo de aire fresco."""
msc_012240_0040#0,"""Este planeta... Halpha... Es un lugar cruel. Es brutal... y despiadado. ¿Manon?"""
msc_012240_0050#0,"""¿Manon......?"""
msc_012240_0060#0,"""Sólo para vivir aquí... tantos defensores de ARKS tienen que<br>luchar contra los DOLLS, y morir."""
msc_012240_0070#0,"""La canción del luto... Así que la conoces, ¿verdad?"""
msc_012240_0080#0,"""Nadereh..."""
msc_012240_0090#0,"""¿Qué te preocupa?"""
msc_012240_0100#0,"""Estaba mirando sus registros de batalla. Y, entonces, antes de que me diera cuenta, había venido aquí."""
msc_012240_0110#0,"""La región de Retem... ha estado en un estado de conflicto durante mucho tiempo. Ha habido muchas bajas."""
msc_012240_0120#0,"""………。"""
msc_012240_0130#0,"""Si hay otra batalla... morirá más gente. Cuando<br>pienso en eso, yo..."""
msc_012240_0140#0,"""¿Qué te hizo venir aquí?"""
msc_012240_0150#0,"""Siempre vengo aquí antes de una batalla importante, para cantar la Canción de Luto por los que hemos perdido."""
msc_012240_0160#0,"""………。"""
msc_012240_0170#0,"""Y para jurarme a mí misma... que no habrá<br>más víctimas."""
msc_012240_0180#0,"""Sin embargo... Esta es la realidad."""
msc_012240_0190#0,"""Aunque soy fuerte... no puedo proteger a todo el mundo."""
msc_012240_0200#0,"""Si tuviera el poder de la canción... nunca habríamos<br>perdido a tantos compañeros."""
msc_012240_0210#0,"""Me siento impotente..."""
msc_012240_0220#0,"""¡No!"""
msc_012240_0230#0,"""Esto no es tu culpa. Los que son... verdaderamente culpables son..."""
msc_012240_0240#0,"""Perdóname. No debería haber gritado. Olvida lo que he dicho."""
msc_012240_0250#0,"""El poder... de la canción..."""
msc_012240_0260#0,"""Estas luces..."""
msc_012240_0270#0,"""¡Eso es! ¡Lo tengo!"""
msc_012240_0280#0,"""Los datos que acabo de leer... Los líderes del pasado todos... ¡Tu<br>poder es diferente al de ellos! ¡Sí! ¡Es un poder distinto!"""
msc_012240_0290#0,"""¿Qué?"""
msc_012240_0300#0,"""¡Tu verdadero poder es...!"""
