msc_012230_0010#0,"""Entonces, comencemos."""
msc_012230_0020#0,"""Esta es la fortaleza de Renus Retem, la Cúpula."""
msc_012230_0030#0,"""Sólo tenemos un objetivo: atravesar el desierto y<br>entrar."""
msc_012230_0040#0,"""¡Allí, todos atacamos!"""
msc_012230_0050#0,"""No tenemos ni tiempo ni números de nuestro lado, pero... Quiero que cada uno de ustedes ayude."""
msc_012230_0060#0,"""Así que vamos a la ofensiva... Sí, supongo que es nuestra única opción."""
msc_012230_0070#0,"""Sin embargo, la Cúpula de Retem está bien fortificada. No podemos simplemente atacarla de frente."""
msc_012230_0080#0,"""De acuerdo. No podemos simplemente forzar nuestro camino. Cuando nos acerquemos, algunos se separarán de la fuerza principal."""
msc_012230_0090#0,"""Cuando reduzcamos sus fuerzas, un escuadrón de élite, incluyéndome a mí, se dirigirá al centro donde está Renus Retem."""
msc_012230_0100#0,"""Hadi, Jalil, Mohsen y yo resolveremos los detalles. El<br>resto debe prepararse para la batalla inmediatamente.<br>¡Despídanse!"""
msc_012230_0110#0,"""Siento sacar el tema en un momento como este, pero esos materiales de investigación..."""
msc_012230_0120#0,"""Los registros de nuestras batallas pasadas se guardan aquí."""
msc_012230_0130#0,"""¡Gracias!"""
msc_012230_0140#0,"""No creo que encuentres nada que te sea útil en<br>la batalla, pero..."""
msc_012230_0150#0,"""¿Eh? ¿Manon?"""
