msc_012020_0010#0,"""Gracias a todos por venir. Iré directamente al grano.<br>Mira esto."""
msc_012020_0020#0,"""Gracias a los materiales que obtuvimos de la batalla<br>con Nex Aelio, el desarrollo del Cañón Central está<br>progresando sin problemas."""
msc_012020_0030#0,"""Sin embargo, aún nos faltan algunos materiales importantes.<br>Por ello, tengo una misión para ustedes."""
msc_012020_0040#0,"""Esta es la región de Retem, situada al este de nuestra posición actual."""
msc_012020_0050#0,"""Bajo este extenso<br>desierto se encuentran abundantes recursos, y espero cooperar con la gente de Retem<br>para desenterrarlos."""
msc_012020_0060#0,"""Sin embargo, actualmente también están enzarzados en una batalla con los<br>DOLLS, y no pueden dedicar recursos a otras regiones."""
msc_012020_0070#0,"""Entonces, ¿quieres que vayamos a ayudarles a derrotar a todos los<br>DOLLS de allí?"""
msc_012020_0080#0,"""Precisamente. Ustedes servirán como nuestro equipo de avanzada."""
msc_012020_0090#0,"""Por favor, infórmense de la situación allí y presten su ayuda."""
msc_012020_0100#0,"""También quiero que formen una relación amistosa con ellos."""
msc_012020_0110#0,"""¡Entendido! Puedes contar con nosotros."""
msc_012020_0120#0,"""He avisado de su llegada. El resto está<br>en tus manos."""
