name01#0,"""시에라"""
11_voice_navi09_armada_077#0,"""해냈네요!<br>계속해서 스텝 부스트를<br>훈련하죠!"""
11_voice_navi09_armada_078#0,"""「A.I.S 베가」는 새로 장착된<br>부스터 유닛을 통해<br>고속으로 자유롭게 비행할 수 있습니다."""
11_voice_navi09_armada_079#0,"""이름하여 「스텝 부스트」입니다!<br>스텝 후 이동 입력을 유지하면<br>고속 이동 상태로 비행할 수 있어요!"""
11_voice_navi09_armada_080#0,"""우주에 가상 표적을 설치했습니다.<br>스텝 부스트를 활용하면서<br>모든 가상 표적을 파괴하죠!"""
line01#0,"""모든 타깃을 파괴하면 퀘스트 클리어!"""
text100#0,"""-<%Jump>로 상승, 뒷면 팔레트의 <%PhotonArts>로 하강."""
text100b#0,"""-<%Jump>로 상승, <%MainPaletteC>로 하강."""
text200#0,"""-스텝 후 이동 입력을 하면<br>스텝 부스트가 발동한다."""
text200b#0,"""-스텝 후 이동 입력을 하면<br>스텝 부스트가 발동한다."""
text300#0,"""-「오토 트랙」 사용 중<br>적을 록온하고 이동하면<br>적과의 고도가 자동으로 조절됩니다."""
text300b#0,"""-「오토 트랙」 사용 중<br>적을 록온하고 이동하면<br>적과의 고도가 자동으로 조절됩니다."""
text400#0,"""-서브 팔레트의 「급상승」으로 상승.<br>-서브 팔레트의 「급하강」으로 하강.<br>"""
text400b#0,"""-서브 팔레트의 「급상승」으로 상승.<br>-서브 팔레트의 「급하강」으로 하강.<br>"""
tut_title100#0,"""A.I.S 이동에 대하여 1/4"""
tut_title200#0,"""A.I.S 이동에 대하여 2/4"""
tut_title300#0,"""A.I.S 이동에 대하여 3/4"""
tut_title400#0,"""A.I.S 이동에 대하여 4/4"""
