Title#0,"""A.I.S 베가의 기초"""
Explanation#0,"""■훈련 메뉴<br>――――――――――――――――――――<br>과제 1: 사격 훈련<br>과제 2: 근접전 훈련<br>과제 3: 멀티 록 미사일 훈련<br>과제 4: 카운터 실드 훈련<br>과제 5: 스텝 부스트 훈련<br>과제 6: 실전 훈련"""
SimpleExplanation#0,"""가상 표적을 파괴하라!"""
Training1#0,"""***"""
Retry_10#0,"""***"""
NpcComMsg1#0,"""지금부터 우주 전투용으로<br>개발된 「A.I.S 베가」의<br>조종 훈련을 시작합니다."""
NpcComMsg2#0,"""조종 매뉴얼은 확인했나요?<br>메시지 팩에서 확인할 수 있으니<br>반드시 읽어 주세요!"""
NpcComMsg3#0,"""조종 훈련으로<br>가상 표적을 차례대로 파괴하게 됩니다.<br>그럼 훈련 시작입니다!"""
NpcComMsg1#1,"""지금부터 우주 전투용으로<br>개발된 「A.I.S 베가」의<br>조종 훈련을 시작합니다."""
NpcComMsg2#1,"""조종 매뉴얼은 확인했나요?<br>메시지 팩에서 확인할 수 있으니<br>반드시 읽어 주세요!"""
NpcComMsg3#1,"""조종 훈련으로<br>가상 표적을 차례대로 파괴하게 됩니다.<br>그럼 훈련 시작입니다!"""
