name01#0,"""시에라"""
text01#0,"""A.I.S 베가 조작에는 익숙해졌나요?<br>그럼 시간을 측정하겠습니다."""
text02#0,"""나타나는 모든 타깃을<br>파괴해 주세요!<br>준비…… 시작!"""
text100#0,"""-<%Jump>로 상승, 뒷면 팔레트의 <%PhotonArts>로 하강.<br>스텝 후 이동 입력을 하면<br>고속 이동."""
text100b#0,"""<%Jump>로 상승, <%MainPaletteC>로 하강.<br>스텝 후 이동 입력을 하면<br>고속 이동."""
text200#0,"""-<%NormalAttack>로 총 공격.<br>-<%PhotonArts>로 검 공격.<br>"""
text200b#0,"""-<%NormalAttack>로 총 공격.<br>-<%PhotonArts>로 검 공격.<br>"""
text300#0,"""배리어 전개: 서브 팔레트의<br>스킬 아이콘 홀드 중 피격 후<br>홀드를 해제하면 반격."""
text300b#0,"""배리어 전개: <%WeaponAction_2>+<%PhotonArts> 홀드.<br>배리어 전개 중 피격 후<br>홀드를 해제하면 반격."""
text400#0,"""-뒷면 팔레트의 <%NormalAttack> 홀드로 타깃 록온.<br>이후 홀드를 해제하면<br>록온한 타깃을 공격."""
text400b#0,"""<%WeaponAction_2>+<%PhotonArts> 홀드로 타깃 록온.<br>이후 홀드를 해제하면<br>록온한 타깃을 공격."""
tut_title100#0,"""A.I.S 이동에 대하여"""
tut_title200#0,"""A.I.S 공격에 대하여"""
tut_title300#0,"""「카운터 필드」에 대하여"""
