text00#0,"""¿Que quieres saber?"""
text10#0,"""¡Aprende sobre el combate Summoner!"""
text20#0,"""¡Aprende sobre la convocación!"""
text30#0,"""¡Características de las mascotas!"""
text50#0,"""Salir"""
text11#0,"""¡Quiero invocar mascotas!"""
text12#0,"""¡El animal recibió el daño!"""
text13#0,"""¡La mascota se desmayó!"""
text14#0,"""Volver"""
text21#0,"""¡Quiero subir de nivel a mi mascota!"""
text22#0,"""¿Desarrollar la rareza de la mascota?"""
text23#0,"""¿Qué pasa si mi mascota alcanza Lv100?"""
text24#0,"""¿Qué es una caja de dulces?"""
text25#0,"""¿Qué recomienda para cada mascota?"""
text26#0,"""¡La caja de dulces no tiene espacio!"""
text27#0,"""¿Qué objetos puedo usar en la caja de dulces?"""
text28#0,"""Quiero comprimir dulces!"""
text29#0,"""¿Cuál es el límite de atributo de mascota?"""
text31#0,"""¿La personalidad de la mascota?"""
text32#0,"""Características de Maron/ Melon"""
text33#0,"""Características de Viola"""
text34#0,"""Características de Synchro"""
text35#0,"""¡Evolución!"""
text36#0,"""Características de Redran"""
Title#0,"""¡Quiero invocar mascotas!"""
text01#0,"""・Registro de mascotas<br>Puede registrar nuevas mascotas al <yellow>\""Usar\""<c> un objeto \""Egg\"".<br><br>Para configurar una mascota en su paleta de armas,<br>use el menú de equipo y equipa un arma \""Takt\"",<br>luego de izquierda a derecha, coloca a tu mascota<br>en el siguiente orden:<br><br> ・<yellow> Mascota favorita (de tu lista de mascotas)<c><br> ・PA correspondiente de la mascota (técnicas)<br><br>Al usar una mascota, su presencia Mag se ocultará<br>pero todos los efectos se aplicarán como de costumbre."""
Title#1,"""¡Quiero subir de nivel a mi mascota!"""
text01#1,"""Tus mascotas pueden crecer (subir de nivel) usando el menú<br>\""Egg Synthesis\"" para ganar experiencia con los huevos sobrantes.<br><br>Además, cuando sintetizas un huevo con un valor positivo,<br>los valores del huevo también aumentarán las estadísticas de tu mascota.<br>Cada tipos de mascotas tienen un límite de bonificación diferente.<br><br>A diferencia de los jugadores, las mascotas no pueden<br>ganar experiencia derrotando a los enemigos."""
text02#0,"""<yellow>Puede usar \""Egg Synthesis\"" 5 veces seguidas.<c><br>Cuando alcances ese límite, no podrás sintetizar huevos por un tiempo.<br><br>Recuperará progresivamente los Cargos de Síntesis en tiempo extra,<br>o puede usar su SG para recuperarlos al instante de una vez.<br><br>Cuando recuperes usando SG, tu próxima Síntesis de Huevos tendrá<br>un bonos de experiencia."""
Title#2,"""¿Qué es una caja de dulces?"""
text01#2,"""Una Caja de dulces es el lugar donde puedes almacenar<br>caramelos que tienen varios efectos para fortalecer a tu mascota.<br><br>Cada mascota tiene su propia caja de dulces.<br><br>Derrota a los enemigos para recolectar caramelos<br>y personalizar a tu mascota."""
text02#1,"""\""Candy\"" es el nombre genérico que se refiere a elementos que<br>fortalecen las habilidades de tu mascota.<br>Todos los dulces tienen un límite de uso máximo.<br>■Max. de 1<br>・Ramune・Crepe<br><br>■Max. de 2<br>・Parfait ・Roll  ・Pancake<br><br>■Max. de 3  ■Max. de 4<br>・Cookie  ・Stick<br><br>■Max. de 5  ■Max. de 20<br>・Sandwich  ・Gummy"""
text03#0,"""Una vez que configura un Candy,<br>no puede volver a moverlo a su inventario.<br><br>Necesita un \""Candy Remover\"" para eliminar un caramelo<br>o un \""Candy Eraser\"" para borrar uno.<br><br>Los dulces retirados volverán a su inventario,<br>pero <yellow>los dulces borrados serán destruidos<c>.<br><br>Por favor tenga cuidado."""
text00#1,"""¿Qué recomienda para cada mascota?"""
text01#3,"""<yellow>●Características de \""Wanda\""<c><br><br> Wanda es una mascota equilibrada y fácil de usar..<br><br>＜Dulces para Wanda＞<br>・\""Steadfast Roll\""<br> (Reduce el daño recibido cuando HP cae por debajo del 50%)<br><br>・\""Conversion Roll\""<br> (Convierte estadísticas defensivas para atacar)<br><br>・\""Body Sandwich\""<br> (Incrementa las estadísticas defensivas)"""
text02#2,"""<yellow>●Características de \""Torim\""<c><br><br> Torim es una mascota ofensiva que tiene un fuerte poder de ataque.<br><br>＜Dulces para Torim＞<br>・\""Megaton Parfait\""<br> (Incrementa el daño infligido a los jefes)<br><br>・\""Daredevil Parfait\""<br> (Aumenta el costo de PA a cambio de mayor daño)<br><br>・\""One Layer Pancake\""<br> (Aumenta el atributo elemental de la mascota)"""
