linewindow#0,"""The Weapon Palette"""
text00#0,"""The Weapon Palette"""
text01#0,"""Let's learn about the Weapon Palette"""
text02#0,"""You can add a combination of weapons and photon arts/techniques<br>to the weapon palette to switch equipment easily.<br><br>Move palette up: <%PaletteReverse><br>Move palette down: <%PaletteForce>"""
text03#0,"""Use <%Decide> to equip a weapon<br>and finish switching the weapon palette."""
text04#0,"""You can add multiple weapons to the weapon palette.<br>You can also add up to three photon arts/techniques."""
text05#0,"""In the case of 3 Button mode, up to 6 Photon Arts and Techniques can be added to your weapon palette.<br><br>It allows for custom combinations with a focus on a manual play style."""
11_voice_NPC_5003_104#0,"""Hey, you wanna join me on this? <br>It would really help me out if you came along."""
text102#0,"""I may be an ARKS member now, but I'm still<br>on the bottom rung of the ladder."""
text103#0,"""It's not like I'm itching to fight, but we<br>should really master all the techniques we can,<br>so we'll be ready when it counts."""
text104#0,"""Anyway, it's time to get started.<br>Switching between weapons is about as<br>basic as it gets."""
text105#0,"""I know, they taught us this before.<br>I just hope I can remember how it goes."""
