Begin#0,"""開始5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/ci3 1 잠깐, 무사시!<br>네 전투방식이 형편없으니까<br>주위에 민폐를 끼치고 있잖아!"""
Success#1,"""/ci2 1 저기, 그… 고마워.<br>실은 좀 위험했었는데<br>정말 도움이 됐어."""
Failure#1,"""/ci4 1 아아 정말, 뜻대로 풀리지 않는데다<br>나 자신의 한심함에 열이 받네…!<br>…미안, 먼저 돌아갈게!"""
Dead#1,"""거짓말이지…!<br>이런 곳에서 당해버리다니…!"""
BuddyDead#1,"""나 참 정말… 한심한 꼴은<br>현실에서만 보이라고.<br>거기서 좀 쉬고 있어!"""
Begin#2,"""/ci3 2 /mn12 맡겨주세요!<br>이런 놈들 따위, 산산조각내주겠어요!"""
Success#2,"""/ci2 2 /mn24 네, 물론이죠!<br>…RINA 씨와 함께니까<br>저, 힘내겠어요!"""
Failure#2,"""/mn1 죄, 죄송합니다…<br>제가 한심한 탓에…!"""
Dead#2,"""/mn24 RINA 씨의 방패가 될 수 있었다면<br>내가 바라던 바…！"""
BuddyDead#2,"""/mn18 그런…!<br>잘도…절대로 용서하지 않아!"""
Begin#3,"""/toge /ci3 RINA 씨를 위해 힘내는거야!<br>이 녀석들이 이벤트를<br>절대로 방해하게 두지 않을 테니까!"""
Success#3,"""/mn15 /ci2 2 자, 다음으로 가자!<br>그것이 RINA 씨를 위한 거니까 말야!"""
Failure#3,"""/mn5 그런…!<br>어째서 이런 일이…!"""
Dead#3,"""/mn4 거짓말이지…!<br>RINA 씨, 죄송해요…"""
BuddyDead#3,"""/mn22 실바, 괜찮아?<br>우리가 뒤를 정리할테니<br>잠깐 쉬고 있어!"""
