st_041900_0001#0,"""A.P.241/3/24/9:00"""
st_041900_0010#0,"""Okay, here's the gist of things:"""
st_041900_0020#0,"""While you were down under, ARKS' command chain has gone through a drastic restructuring."""
st_041900_0030#0,"""Firstly, the Commander... Ulc is one of ARKS greatest people. Theodore acts as her assistant."""
st_041900_0040#0,"""The Council of Six has been divided into different parts."""
st_041900_0050#0,"""Commander of Combat, Huey. Deputy, 3rd generation Claris Claes."""
st_041900_0060#0,"""Commander of General Affairs Department, Maria. Deputy, Sara"""
st_041900_0070#0,"""Commander of Instructor Section, Regius. Deputy, Zeno."""
st_041900_0080#0,"""And then, when there're many problems, it's up to the Commander of Information sector, Casra."""
st_041900_0090#0,"""Decision making that involves the overall policy of ARKS will be thoroughly discussed among the Head of Departments and the commander first."""
st_041900_0100#0,"""After the formation, our Ship Administrator, Xiao, has returned to the Mother Ship to concentrate on this operation."""
st_041900_0110#0,"""That's right, we stepped into Xiao's position to manage the ship."""
st_041900_0120#0,"""Truth be told, I'm amazed! It's been two years since I was born, and I'm already an adult in both mind and body! Hehe!"""
st_041900_0130#0,"""By the way, I heard from Xiao that Commander Ulc had a part in forming my personality."""
st_041900_0140#0,"""Also, within ARKS, there's one more Special Title. It's called \""The Guardian\""."""
st_041900_0150#0,"""Not belonging to any Department, they can act on their own whims. ARKS only \""unique\"" presence, really."""
st_041900_0160#0,"""There are currently two Guardians: You and Matoi!"""
st_041900_0170#0,"""Not only that, but I'm the Exclusive Operator for the Guardian, <%me>."""
st_041900_0180#0,"""That's the end of the explantion. I'm looking forward to work with you."""
