un_047060_0010#0,"""Oh, <%me>.<br>Taking a break too? Hehe, so am I."""
un_047060_0020#0,"""While my body is completely purified, if I push myself too hard, Philia will get mad at me. So I take breaks every now and then."""
un_047060_0030#0,"""Plus the ARKS Ship has changed so much since our rest, so it's fun just wandering around."""
un_047060_0040#0,"""<%me>.<br>That person just now, I think he's the representative of the Summoner class, Pietro. Right?"""
un_047060_0050#0,"""Ugh.<br>Oh my friend and their partner. Are the Guardians on break?"""
un_047060_0060#0,"""Eh, ehhh?! partner..!?<br>I sometimes think that it would be nice,<br>but when you put it that way..!"""
un_047060_0065#0,"""Eh, ehhh?! partner..!?<br>I know that between girls, it's used as friends,<br>but when you say it like that..!"""
un_047060_0070#0,"""Partners, what a wonderful thing. Be it friend or children, I believe you should always have them close."""
un_047060_0080#0,"""Hmm... Hmmmmm."""
un_047060_0090#0,"""1. Something wrong?"""
un_047060_0100#0,"""2. Take care then"""
un_047060_0110#0,"""Ah, my friend, I knew you'd hear me out! Friends are truely what you need in life!"""
un_047060_0120#0,"""Please wait, my friend!<br>Shouldn't you be asking<br>\""What Happened?\"", as a friend?"""
un_047060_0130#0,"""You see, it just hit me right now. I thought, that my children whom I love, don't actually love me."""
un_047060_0140#0,""Hold on my friend! Please, no need to say more! I understand! I understand that it's not possible."""
un_047060_0150#0,"""I, cannot be forgiven. I who doubted their love ever so slightly!"""
un_047060_0160#0,"""That's why this loneliness is a punishment to myself. They've understood that as well and haven't looked at me nor tried to hold me back!"""
un_047060_0170#0,"""1. Aren't you just being ignored?"""
un_047060_0180#0,"""2. Don't beat yourself up because of it"""
un_047060_0190#0,"""Shhh!<br><%me>! Don't say that!"""
un_047060_0200#0,"""That's right!<br>What <%me> said!"""
un_047060_0210#0,"""You know, if you're feeling sad, I'm certain your pets feel the same way."""
un_047060_0220#0,"""This was the part where you were supposed to nod in agreement."""
un_047060_0230#0,"""Hey, look!"""
un_047060_0240#0,"""O-oh! E-Elizabeth!?"""
un_047060_0250#0,"""No, no. Keep away! I don't have the right to face all of you! I'm, a terrible person."""
un_047060_0260#0,"""The love you've given me in the form of strikes, smacks and bites!"""
un_047060_0270#0,"""I doubted that love, I briefly thought that \""perhaps I'm being attacked is because I'm disliked?\"""""
un_047060_0280#0,"""Even though you cannot speak, you used your bodies to display your love, and I doubted all of it. How awful, I'M A FAILURE OF A SUMMONER"""
un_047060_0290#0,"""N-no, you keep away, Elizabeth! Don't come any closer to me! I'm, I'm..."""
un_047060_0300#0,"""Hey, uhh <%me>? Is it just me, or is Pietro's the one trying to get close..?"""
un_047060_0310#0,"""E-Elizabeth?! That display of love... Are you saying that you will forgive someone like me?"""
un_047060_0320#0,"""ELIZABETH!! Thank you Elizabeth! Thank you! I will never let you down again!"""
un_047060_0330#0,"""Hahaha, Elizabeth! You're feistier than usual. You must have been lonely, right? There, there..there.. Ow, Ow!"""
un_047060_0340#0,"""Now then, let's head on home and have a feast! Today, it will be a feast made with love!"""
un_047060_0350#0,"""Uhhh, I'm not sure how to say this, but..."""
un_047060_0360#0,"""If they haven't left him at all, it probably means Pietro's pets don't think badly of him, right?"""
un_047060_0370#0,"""Oh, hey, no Elizabeth! We'll feast when we get home, and I'm not foo... OW OW OW OW, AHHH OWOWOWOWOW!!"""
un_047060_0380#0,"""...Hopefully."""
