un_043070_0001#0,"""A.P.2028/x/xx"""
un_043070_0010#0,"""Xiera, I'm coming in. ...I knew it. <%me>'s here as well."""
un_043070_0020#0,"""Oh, Sara. What's up? It's rare seeing you here."""
un_043070_0030#0,"""I heard that <%me> returned, so I came here to see for myself, while being called by Claris Claes."""
un_043070_0040#0,"""I heard that you got involved into another bothersome issue but, it seems like you're stil full of life."""
un_043070_0050#0,"""Eh? You still haven't heard about it from Xiao?"""
un_043070_0060#0,"""I only received a note saying that <%me> had returned, no further details."""
un_043070_0070#0,"""His messages are becoming more negligent. What does he think a presenter's supposed to be? Maybe I should confront him and say that I'll postpone it."""
un_043070_0080#0,"""1. How's Xiao doing?"""
un_043070_0090#0,"""2. Xiao must've been lonely."""
un_043070_0100#0,"""That's my line. He's being holed up at the center of the Mother Ship, doing calculations as usual, so there's no need to worry, I guess."""
un_043070_0110#0,"""He also gave Xiera the authority to manage the whole ship, right?"""
un_043070_0120#0,"""Are you an idiot? He's probably used to it by now."""
un_043070_0130#0,"""Besides, he's too busy to think of this nonsense. Stupid Maria, she didn't have to force me to do all of her chores."""
un_043070_0140#0,"""By the way, are you free at the moment? I would like to ask some questions about the document that was submitted by the General Affairs Department."""
un_043070_0150#0,"""Ah- I don't know if I have spare time but- wait, just gimme a minute! It's a call from Xiao!"""
un_043070_0160#0,"""Jeez, Xiao! Why do you always call me out of the blue?!"""
un_043070_0170#0,"""Nevermind- what's up? ...Nothing?! \""I always wanted to hear from you once in a while?\"" You're an idiot, arent you? Why don't you just finish your calculations and come out here?!"""
un_043070_0180#0,"""I'm doing fine at the moment. Yup, okay. Seems like things have settled on your side. I know that, I haven't been arguing or anything like that."""
un_043070_0190#0,"""Yes, okay, yup, got it. You don't need to call up day-by-day just to check. Besides, are you alright?"""
un_043070_0200#0,"""Well, it's not like I'm worred about you or anything. Anyways, I'm heading over there to visit, you'd better come out, or else!"""
un_043070_0210#0,"""I know, I know. See ya."""
un_043070_0220#0,"""Come on, he's always like this. Sorry Xiera, let's continue from where we left off-"""
un_043070_0230#0,"""Wait, what?!"""
un_043070_0240#0,"""Well~ I don't know how to put it... It's really nice to talk like that~"""
un_043070_0250#0,"""Hey, Xiera! Get back to the request! I'm sure there are problems with the document Maria gave us! Hurry up and show it to me!"""
un_043070_0260#0,"""Okay, okaaaay~"""
un_043070_0270#0,"""<%me>! Don't just stand there! Go back to your ARKS missions! Now!"""
