st_046110_0001#0,"""A.D.2028/4/21/19:30"""
st_046110_0010#0,"""Hitsugi! Hitsugiiii! Hitsugiii!"""
st_046110_0020#0,"""Okay, okay, I get it already..."""
st_046110_0025#0,"""Mhmm... gah!"""
st_046110_0027#0,"""Hey, Kohri! Don't go blowing your nose with my clothes!"""
st_046110_0030#0,"""Gufu, gufufu, fuhehehehe! Hitsugi, Hitsugiiii!"""
st_046110_0040#0,"""Wait! You're doing this on purpose, aren't you?! Why you little...! Get! off! of! meeee!"""
st_046110_0050#0,"""Good grief. The mood is completely different than it was a few minutes ago."""
st_046110_0060#0,"""<%me>! Everyone! Can you hear me?!"""
st_046110_0070#0,"""Ms. Xiera? What's wrong, why are you panicking?"""
st_046110_0080#0,"""I'll give you the details later! You should be able to see it from there! The sky, the sky... look at the moon!"""
st_046110_0090#0,"""The moon...?"""
st_046110_0100#0,"""What... is that...? The color of the moon is... changing?"""
skit01#0,"""My Best Friend"""
skit02#0,"""想いのかたち"""
