un_043050_0010#0,"""Ah, <%me>!"""
un_043050_0020#0,"""<%me>! I haven't seen you around lately! You do remember me, right?"""
un_043050_0030#0,"""1. Who were you again...?"""
un_043050_0040#0,"""2. Ah, long time no see."""
un_043050_0050#0,"""Have I been straight up forgotten?!"""
un_043050_0060#0,"""そのちょっとした沈黙が<br>記憶の曖昧さを物語っていますわ！"""
un_043050_0070#0,"""It is I, Katori! Ka-to-ri! The one who spread your beloved Bouncer class, and is now regarded as a graceful and legendary maiden."""
un_043050_0080#0,"""Due to your self-assertiveness, the number of complaints you've received is certainly legendary."""
un_043050_0090#0,"""That's because you don't advertise enough. Getting them to remember is the top priority, after all."""
un_043050_0100#0,"""But but, thanks to <%me> as well, the Bouncer class has seen a universal expansion."""
un_043050_0110#0,"""Inspired by your achievements, there is an increasing number of ARKS who have decided to try out various weapons and classes regardless of their preferences."""
un_043050_0120#0,"""Thanks to you, not only Bouncer, but the entire diversity of ARKS has increased."""
un_043050_0130#0,"""That, and Katori unnecessarily spread the word that you were also using the Bouncer class, spreading strange advertisements which likely contributed to it as well."""
un_043050_0140#0,"""I wasn't lying! I don't tell lies! And even if you weren't using it, you were at least aware of it."""
un_043050_0150#0,"""And even if you're not using it right now, starting today, you can begin learning how to, and then everything will be true!"""
un_043050_0160#0,"""...Well, it is certainly true that having a diverse array of combat methods will make it easy to prepare youself for any scenario."""
un_043050_0170#0,"""Furthermore, the more individuals who have mastered them, the more easier they can work with others using them."""
un_043050_0180#0,"""I've heard that new problems are on the rise. If you ever need our assistance, call us any time."""
un_043050_0190#0,"""Fufufu, exactly what Saga is saying. My newfound powers exist for you."""
un_043050_0200#0,"""...As you've already guessed during our talk, Katori has hardly changed and will likely cause you grief. We wish you the best, regardless."""
un_043050_0210#0,"""You're so mean, Saga! And <%me> is too, don't just nod like that!"""
