un_046060_0010#0,"""むーむむむ……むむむむむ……"""
un_046060_0020#0,"""１．どこか痛むのか？"""
un_046060_0030#0,"""２．何をしているんだ？"""
un_046060_0040#0,"""あ、<%me>さん。<br>いえ、どこか痛むとかいうわけではなく<br>何かしていたというわけでもないんですが……"""
un_046060_0050#0,"""どうして私の胸は、ウルク総司令に比べて<br>こんなにも貧相に作られてしまったのかなあ、って。"""
un_046060_0060#0,"""あーっ、待って待って！\u3000待ってください！<br>これはですね、切実なんです！<br>切実な悩みなんですよ！"""
un_046060_0070#0,"""私たち、シエラタイプと呼ばれるハイ・キャストは<br>各アークスシップに一人ずつ配属されています。<br>そのシップの管制を管理するために、です。"""
un_046060_0080#0,"""稼働は二年前から。<br>ちょうど<%me>さんの<br>お休みと入れ違いのタイミングですね。"""
un_046060_0090#0,"""能力を管理管制のみに特化させ<br>戦闘能力はほとんどゼロ。<br>文字通り、艦を管理するための存在。"""
un_046060_0100#0,"""あ、ちなみにですね<br>不満とかはこれっぽっちもありませんよ。<br>私、管理管制好きですしね。"""
un_046060_0110#0,"""もしかしたらそういう風に<br>思考調整されてるのかもですけど<br>私が幸せだからいいんです！"""
un_046060_0120#0,"""で、ですね。ここからが重要なのですが……<br>私たちの人格形成における参考人格は<br>他でもない、ウルク総司令なんです。"""
un_046060_0130#0,"""無からの人格形成では時間がかかって<br>仕方がないので、本人了承のもと、下地となる<br>人格の参考としてウルク総司令が選ばれた、と。"""
un_046060_0140#0,"""……だのに！<br>だというのに、ですよ！<br>この差ですよ！\u3000この差！"""
un_046060_0150#0,"""参考にするなら人格だけじゃなくて<br>体格とかそういうのもぜーんぶ参考に<br>して欲しかったって話ですよ！\u3000もーう！"""
un_046060_0160#0,"""そりゃあわかりますよ、理由はわかります。<br>胸が大きいとその分の生産コストがかかりますし<br>そも、デスクワークの邪魔になりそうですし……"""
un_046060_0170#0,"""管理者として納得はできます。<br>しかし！\u3000女の子として納得できません！<br>尊厳を踏みにじられている感じです！"""
un_046060_0180#0,"""ウルク総司令と通信会議するたびに<br>すこし胸がささくれ立つこの気持ち……<br>……精神衛生上、大変よくないです！"""
un_046060_0190#0,"""各シップにいるシエラタイプのみんなも<br>私の意見に、同調してくれています！<br>よーし、今こそシャオに文句をぶつけるとき！"""
un_046060_0200#0,"""シャオ！\u3000上申があ……"""
un_046060_0210#0,"""聞く耳すら持ってくれなかったッ！？<br>それどころかお叱りの連絡まで！"""
un_046060_0220#0,"""ううう……ごめんなさいごめんなさい。<br>わかってましたよう、こうなることぐらい<br>あらかじめ演算済みでしたよう。"""
un_046060_0230#0,"""でもそれでも、言わずにいられなかったのは<br>私が人間と同じっていう証左なんです。"""
un_046060_0240#0,"""ねえ、わかりますよね！<br>私の気持ち、わかってくれますよね！<br><%me>さん！"""
