name01#0,"""Phantom God of Creation"""
name02#0,"""？？？"""
st_048130_0840#0,"""This is the end."""
st_048130_0850#0,"""Ugh!"""
st_048130_0860#0,"""Hitsugi!"""
st_048130_0870#0,"""Impossible... I sent you home, <%me>. How are you here...?"""
st_048130_0880#0,"""<%me>!"""
st_048130_0890#0,"""<%me>!"""
st_048130_0900#0,"""<%me>!"""
st_048130_0910#0,"""This is... Ame-no-Murakumo...? It should have been destroyed, how...?"""
st_048130_0920#0,"""If it's the control of Ether, then I'm superior to this phantom God of Creation. It's as simple as that."""
st_048130_0930#0,"""Aru?! But that voice is... Mother?"""
st_048130_0940#0,"""With Aru's permission, I borrowed his body temporarily. That said, Enga Yasaka, Kohri Washinomiya... please take my hand."""
st_048130_0950#0,"""Gram!"""
st_048130_0960#0,"""My embodied weapon!"""
st_048130_0970#0,"""Though that thing is God, it's built on the framework of an embodiment using Ether from Ardem. It's not a real god."""
st_048130_0980#0,"""And so, humanity, take it down with your own strength. Gather your power, your will! Aru and I will ensure this space is not destroyed."""
st_048130_0990#0,"""Yup, I got it... So big sis, do your best!"""
st_048130_1000#0,"""As the embodiment of the Earth, the universe.. Are you truly defying me, humans?"""
st_048130_1010#0,"""You do not desire new creation, nor evolution... You wish only to degenerate... Are you honestly going to choose such a foolish thing?"""
st_048130_1020#0,"""……それは、違うよ。<br>わたしたちは、わたしたちの足で歩いてる。<br>未来へ向かって、はっきりと！"""
st_048130_1030#0,"""躓いたり、後ずさりしたり<br>間違った方向に進んだりすることもあるが<br>人類は立って、歩いてってるんだよ！"""
st_048130_1040#0,"""立ち止まることもある、振り返ることもある<br>間違えたって後悔することもあるし……<br>取り返しのつかないことも、いっぱいする。"""
st_048130_1050#0,"""それでも、あたしたちが歩いてきたこの道が<br>あたしたちの進化の道で、未来への道なんだ。"""
st_048130_1060#0,"""そしてまだこの道は、先に続いてる……<br>それを、誰にも邪魔なんてさせるもんか。"""
st_048130_1070#0,"""たとえ、神様にだって！"""
st_048130_1080#0,"""神の定めた未来を拒む……<br>愚か、愚か愚か、まこと愚かなり。"""
st_048130_1090#0,"""滅びよ、人類。<br>滅びよ、地球。"""
st_048130_1100#0,"""我が創造の失敗は、新たなる創造で取り戻す。<br>貴様達を抹消し、そして再び創り直す。<br>この星を……この宇宙を。"""
st_048130_1110#0,"""１．地球はお前の玩具ではない"""
st_048130_1120#0,"""２．地球を創り直す必要なんてない"""
st_048130_1130#0,"""<%me>……行こう！"""
st_048130_1140#0,"""ありがとう……<%me>！"""
