un_041020_0010#0,"""...Beautiful. How beautiful it is. Don't you agree?"""
un_041020_0020#0,"""This form without flaws. So graceful and soft. Fur which can only be described as ""perfect to the touch""."""
un_041020_0030#0,"""And foremost, the love it has for me. The elegant way it always snuggles by me... Mmm, elegant!"""
un_041020_0040#0,"""1. What are you talking about?"""
un_041020_0050#0,"""2. Who are you?"""
un_041020_0060#0,"""What?! You still don't understand what I'm talking about after I told you so much?"""
un_041020_0070#0,"""Hm? By the way, who are you again? Ah, no, nevermind. Aside from these children, I have no real interest in anyone else."""
un_041020_0080#0,"""How rude! By the way, who are you again? Ah, no, nevermind. Aside from these children, I have no real interest in anyone else."""
un_041020_0090#0,"""My name is Pietro, and this here is my beloved child, Catherine."""
un_041020_0100#0,"""You... are not a familiar face I've seen before. In that case, please let me explain about my beloved right here, and about Summoner!"""
un_041020_0110#0,"""Summoner is a recently approved class for ARKS. In other words, a new path to take."""
un_041020_0120#0,"""The greatest part of being a Summoner is these children! You can bring your beloved child alongside you into the battlefield."""
un_041020_0130#0,"""Everyone calls them pets... but to me, they are children who need to be loved! They are an irreplaceable precious child!"""
un_041020_0140#0,"""The weapon for Summoners, the tact. Let it guide you, in elegance and beauty, and play a harmony of annihilation. That is what it means to be the Summoner class."""
un_041020_0150#0,"""How about it? You understand now, right? And you want to try it out as well, yes?"""
un_041020_0160#0,"""Haha, there's no need to be so reserved. I insist, try out Summoner!"""
un_041020_0170#0,"""To share the joy of holding these children dear... That's why I have established this class."""
un_041020_0180#0,"""Ow! Hahahahaha, Catherine, you little rascal, you! """
un_041020_0190#0,"""Yes yes, I know, I know. We'll leave in a moment to go to a cafe."""
un_041020_0200#0,"""Well then, this is where we part. Enjoy the great Summoner life!"""
un_041020_0210#0,"""Haha, now now, there's no need to rush, Catherine! The food isn't going anywhere. T-That hurts, that hurts! Stop biting, stop biting you little rascal, you!"""
