un_042020_0001#0,"""A.D.2028/3/24"""
un_042020_0010#0,"""Haaaaah... Aahhhh... It's been a while since I walked this much."""
un_042020_0020#0,"""Like I said, go back to your room."""
un_042020_0030#0,"""Hitsugi, since a certain friend told me to go shopping for them, I think it's fair for me to indulge myself for a bit."""
un_042020_0040#0,"""Hey, Aru. Come and sleep with me. Hitsugi's bed is soo soft and fluffy."""
un_042020_0050#0,"""I know right. I've also slept there."""
un_042020_0060#0,"""You've... slept... here!? W-wait a minute Hitsugi! What did he mean by that!"""
un_042020_0070#0,"""Get your head out the gutter! Aru appeared on the bed without me even noticing."""
un_042020_0080#0,"""So that means... Hitsugi and Aru's scent is mixed in this bed."""
un_042020_0090#0,"""And now, on top of that is my scent. What a miracle fusion!"""
un_042020_0100#0,"""You're creeping me out, so stop it."""
un_042020_0110#0,"""...Now that I think of it, I'm sweating quite abit."""
un_042020_0120#0,"""It's quite humid in here too. Aru's sweaty too, aren't you?"""
un_042020_0130#0,"""...I feel a bit stuffy now."""
un_042020_0140#0,"""Alright, since it's a good timing, let's enter the bath before the others arrive. We went through a lot buying those clothes after all."""
un_042020_0150#0,"""W-wait a minute Hitsugi."""
un_042020_0160#0,"""What?"""
un_042020_0170#0,"""What are we going to do with Aru?"""
un_042020_0180#0,"""...Ah."""
un_042020_0190#0,"""Umm... Should we skip the next recorded scene? What do you say?"""
un_042020_0200#0,"""1. Peeping is bad."""
un_042020_0210#0,"""2. Data collection is vital."""
un_042020_0220#0,"""W-we're not peeping at all! This is for collecting good, honest data!"""
un_042020_0230#0,"""We are doing nothing wrong! There's nothing to be guilty about... It's work! Yeah, that's what it is."""
un_042020_0240#0,"""...But, with that said, you would still watch it with me right, <%me>? How devious of you."""
un_042020_0250#0,"""S-such bold words!"""
un_042020_0260#0,"""...I understand! If <%me> is really prepared for it, I'll fully cooperate with you!"""
un_042020_0270#0,"""...But, with that said, you would still watch it with me right, <%me>? How devious of you."""
