un_042040_0001#0,"""A.D.2028/3/24"""
un_042040_0010#0,"""I'm drained... Who knew shopping and bathing could be this tiring."""
un_042040_0020#0,"""Aru, how's the bed? There should be a pillow there."""
un_042040_0030#0,"""Yeah, I'm okay."""
un_042040_0040#0,"""Alright then, I'll switch off the lights."""
un_042040_0050#0,"""Haah... Feels like it's been forever since my last sleep."""
un_042040_0060#0,"""One little lamb, two little lambs..."""
un_042040_0070#0,"""Hyaa?!"""
un_042040_0080#0,"""A-Aru? What's wrong? Your bed is right there."""
un_042040_0090#0,"""Eh... Aru... Are you trembling?"""
un_042040_0100#0,"""I'm sorry, Big sis... I'm... I'm scared of the dark."""
un_042040_0110#0,"""It feels like I'm being carried away to someplace scary..."""
un_042040_0120#0,"""I'm scared that I will go back to where I came from if we're not together..."""
un_042040_0130#0,"""Aru..."""
un_042040_0140#0,"""Come here, Aru."""
un_042040_0150#0,"""...Eh, really?"""
un_042040_0160#0,"""I'm your Big sis after all. I can't leave my frightened little brother alone can I? Come, quickly."""
un_042040_0170#0,"""...Okay. Thank you Big sis."""
un_042040_0180#0,"""Aru's feelings, I know them very well. I really understand how he feels."""
un_042040_0190#0,"""I just feel so much more at ease when there's someone there for me..."""
un_042040_0200#0,"""That's because I've always been alone here in the Ship's Bridge, all by myself! I felt very lonely..."""
un_042040_0210#0,"""But hey, thanks to <%me>, I'm not lonely anymore. Hehe."""
