un_046040_0010#0,"""Haa..haa..!"""
un_046040_0015#0,"""Hi, my friend! Sorry for the commotion!"""
un_046040_0020#0,"""But, my friend, have you seen Josephine anywhere?"""
un_046040_0030#0,"""1. Haven't seen her."""
un_046040_0040#0,"""2. I saw her in Naberius."""
un_046040_0050#0,"""Really...<br>Damn...Josephine...<br>Where did you go....!"""
un_046040_0060#0,"""What, Naberius!? Tell me what you've saw!"""
un_046040_0070#0,"""Uh-huh, red, bright colors...."""
un_046040_0075#0,"""You saw an Aginis! That's different from Josephine!"""
un_046040_0080#0,"""Josephine has ran away from home... I was doing work, and within a blink of an eye she was gone!"""
un_046040_0090#0,"""I don't think she left the ship<br>...Oh, I just love Josephine. Where exactly could you be...!"""
un_046040_0100#0,"""...No, this is a challenge for love! I'm being tested by Josephine! I'll find you!"""
un_046040_0110#0,"""My friend! See you again!"""
