name01#0,"""Пурин"""
11_voice_NPC_5082_104#0,"""<%me>.<br>Меня зовут Пурин."""
text02#0,"""Я сязалась с вами, чтобы<br>рассказать вам о новой программе<br>обучения ARKS."""
text03#0,"""Это новые экстримальные квесты,<br>для которых требуются<br>\""<red>Extreme Pass<c>\""."""
text04#0,"""Я отвечаю за раздачу пропусков.<br>Один будет выдан вам при входе,<br>или когда вы подойдёте ко мне,<br>чтобы забрать его."""
text05#0,"""Кроме того, стали доступны<br>коллекции файлов."""
text06#0,"""Коллекция файлов - список<br>предметов. <blue>Собрав их все<c>,<br>вы получите награду."""
text07#0,"""<red>Целевые предметы и награды<br>отличны для каждого предмета<br>каждой коллекции.<c>"""
text08#0,"""Я буду связываться с вами<br>каждый раз, когда будут<br>появляться новые коллекции<br>файлов."""
text09#0,"""Заранее благодарю вас."""
linewindow#0,"""<br>Экстрим квесты<br>"""
text00#0,"""Экстрим квесты"""
text01#0,"""Экстримальные квесты - тренировочные программы,<br>разработанные для тренировки вашей способности<br>выполнять определённые задачи в тяжёлых<br>условиях.<br><br>Вы можете использовать телепортационный бассей<br>на любом челноке, пришвартованном к кораблю<br>ARKS, чтобы отправиться в VR пространство.<br><br>В VR пространстве будет несколько областей,<br>называемых 'Этапами', которые расположенны<br>последвательно. Вы получите доступ к большому<br>количеству этапов через установленные<br>промежутки времени."""
text02#1,"""Чтобы начать экстрим квест, вам понадобится<br><yellow>Extreme Pass<c>.<br><br>Его можно получить при входе в систему, или при<br>разговоре с Пурин.<br><br>Можно получить <yellow>1 на аккаунт в 22 часа<c>."""
text03#1,"""エクストリームクエストでは倒したエネミーが<br>「<yellow>原石<c>」や「<yellow>欠片<c>」と呼ばれるアイテムを<br>ドロップする場合があります。<br><br>原石・欠片には種類があり、入手できる種類は<br>エクストリームクエストごとに異なります。<br><br>また、エネミーのドロップ以外にも<br>クエストの最終エリアをクリアすることで<br>大量に入手することができます。<br><br>原石と欠片はアークス・ロビーの魔石交換ショップで<br>強力な武器や防具と交換することができます。"""
