name#0,"""티아"""
11_voice_NPC_5013_100#0,"""오호라, 마침 잘 왔어!<br>자자자, 이쪽으로 와!"""
favs_before_020#0,"""짜잔!<br>자, 이거 선물이야!"""
favs_after_010#0,"""늘 신세 지고 있으니까<br>그 답례 같은 거랄까?"""
favs_after_020#0,"""그럼 앞으로도 잘 부탁해!"""
favs_present_010#0,"""패티에게서 『신시사이저』를 받았습니다."""
favs_present_020#0,"""패티에게서 『시저 엣지』를 받았습니다."""
favs_present_030#0,"""패티에게서 『신시사이저』를 받았습니다."""
favs_present_040#0,"""패티에게서 『램블링 문』을 받았습니다."""
favs_present_050#0,"""패티에게서 『신시사이저』를 받았습니다."""
favs_present_060#0,"""패티에게서 『일루전 레이브』를 받았습니다."""
favs_present_070#0,"""패티에게서 『신시사이저』를 받았습니다."""
favs_present_080#0,"""패티에게서 『페이크 캡처』를 받았습니다."""
favs_present_090#0,"""패티에게서 『신시사이저』를 받았습니다."""
favs_present_100#0,"""패티에게서 『데들리 아처』를 받았습니다."""
favs_present_add_001#0,"""패티에게서 『<%skit_text>』를 받았습니다."""
Alice_01_10#0,"""오, 그 표정!<br>이 패티가 엄선한 정보를<br>원한다는 표정이네!"""
Alice_01_20#0,"""좋아, 좋아. 뭐든 물어봐!<br>지금이라면 언니가 뭐든<br>가르쳐 줄 테니까!"""
Alice_01_30#0,"""……어?\u3000여, 연애?<br>연애 사정?<br>여, 연애지!\u3000알아, 안다고!"""
Alice_01_40#0,"""으음, 저기, 그러니까……<br>그게, 그러니까 말이지……<br>……아, 아하하!"""
Alice_01_50#0,"""안 돼!\u3000갑자기 그런 걸<br>언니한테 물으면 안 되지!<br>성희롱이야!"""
Alice_01_60#0,"""같은 종족이든 다른 종족이든 상관없어!<br>연애 같은 건…… 연애 같은 건……<br>배, 백 년은 이르니까!"""
Alice_01_70#0,"""……평생 독신 선언이네."""
Alice_01_80#0,"""죄송해요. 저희 바보 언니가<br>완전히 당황한 상태라<br>이쯤에서 용서해 주세요."""
