name010#0,"""Faria"""
name020#0,"""Taivas"""
name030#0,"""Tulli"""
name040#0,"""Ilma"""
name050#0,"""Kukka"""
name060#0,"""Meri"""
text010#0,"""ดูเหมือนว่ามันจะจบสิ้นแล้วนะ<br>เจ้านั่นเป็นตัวการที่ทำให้ Scarlet Realm ปรากฏขึ้นมางั้นเหรอ?"""
text020#0,"""พูดยากนะ...<br>แต่ยังไงซะ อาณาเขตของมันก็ดูเหมือนจะเริ่มหดตัวลงแล้วล่ะ"""
text030#0,"""ท้องฟ้าเริ่มเปิดแล้วล่ะ! ทำได้ดีมากทุกคน"""
text040#0,"""งั้นพวกเรามาจัดการเก็บกวาดพวกที่เหลือรอดอยู่แล้วค่อยกลับบ้านกันดีไหม?"""
text050#0,"""ฟังดูเข้าทีเลยล่ะ<br>ฉันแทบจะรอซดซุปร้อนๆ อร่อยๆ ไม่ไหวแล้วสิ"""
text060#0,"""ทำงานได้ดีมากเลยค่ะทุกคน<br>ทางฝั่งเราจะทำการสืบสวนเรื่องของ Scarlet Realm ต่อไปค่ะ"""
