name010#0,"""Аина"""
text010#0,"""Я покажу тебе город. Там мы сможем поговорить поподробнее."""
text020#0,"""Можешь дойти до той скалы?"""
Text_Move_Pad#0,"""Двигаться: """
Text_Move_Key#0,"""Двигаться вперёд/назад: """
Text_Move_Key2#0,"""Двигаться влево/вправо: """
Text_Jump#0,"""Прыжок: """
Text_DoubleJump#0,"""Двойной прыжок: """
Text_Sight#0,"""Управление камерой: """
Button_Move_Pad#0,"""<swguidetype T_Moveguide_l>"""
Button_Move_Key#0,"""<%MoveForward><pict 4space><%MoveBack>"""
Button_Move_Key2#0,"""<%MoveLeft><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_DoubleJump#0,"""<%Jump><pict 4space>и следом <pict 4space><%Jump>"""
Button_Sight_Pad#0,"""<swguidetype T_Moveguide_r>"""
Button_Sight_Key#0,"""Движение мыши"""
