msc_011220_0010#0,"""Hey, gracias por venir."""
msc_011220_0020#0,"""...Sabes, siempre odié el entrenamiento de mi padre."""
msc_011220_0030#0,"""Todavía no me das el 100%. No te convertirás en un ARKS de pleno derecho así, me decía."""
msc_011220_0040#0,"""Quiero decir, soy Su hija, ¿sabes? Debería ser más fuerte que cualquier ARKS de por ahí"""
msc_011220_0050#0,"""Así que me he estado preguntando ¿Por qué no me dejó luchar con él?"""
msc_011220_0060#0,"""...En esa última batalla, finalmente entendí por qué."""
msc_011220_0070#0,"""Cuando Bruder me pidió que cerrara los ojos, me vinieron a la mente los rostros de todos los habitantes de la ciudad de Aerio."""
msc_011220_0080#0,"""Antes, nunca había pensado en el por qué luchar. Sólo quería ser ARKS como mi padre, ¿sabes?"""
msc_011220_0090#0,"""Eso es todo lo que era... y mi padre se daba cuenta. Él vio a través de mí."""
msc_011220_0100#0,"""Sólo ahora que se ha ido es demasiado tarde para darme cuenta."""
msc_011220_0110#0,"""Que no tenía ni idea de lo que significaba luchar."""
msc_011220_0120#0,"""Allí atrás, cuando el Nagrus se puso rojo, mis pies simplemente... se detuvieron. Me congelé."""
msc_011220_0130#0,"""Y entonces, tuve miedo."""
msc_011220_0140#0,"""... No tengo miedo de luchar, no..."""
msc_011220_0150#0,"""¿Miedo de que, si todo lo que estoy haciendo es retenerlos a ustedes dos?"""
msc_011220_0160#0,"""...Entonces... Yo sólo..."""
msc_011220_0170#0,"""Aina."""
msc_011220_0180#0,"""¿Olvidaste la promesa que hicimos frente a Crawford?"""
msc_011220_0190#0,"""Que?"""
msc_011220_0200#0,"""Te ayudaré, dije. Te lo decía a ti, ya sabes."""
msc_011220_0210#0,"""Manon."""
msc_011220_0220#0,"""¿No vamos a derrotar a Dark Falz, juntos?"""
msc_011220_0230#0,"""Manon... Gracias."""
msc_011220_0240#0,"""Quiero ser más fuerte. Lo suficientemente fuerte como para luchar contra DOLLS como ustedes."""
msc_011220_0250#0,"""Y necesitaré que ambos me ayuden. Quiero que luchemos... juntos"""
msc_011220_0260#0,"""Sí, ya sabes, ese ha sido siempre el plan."""
msc_011220_0270#0,"""Gracias... a los dos... Gracias."""
