msc_011260_0010#0,"""Por aquí."""
msc_011260_0020#0,"""A partir de los datos que me dio Crawford, logré calcular una distribución de la actividad de los DOLLS."""
msc_011260_0030#0,"""Este bosque parece estar lleno de enemigos extremadamente poderosos."""
msc_011260_0040#0,"""Esta costa es relativamente segura en comparación. Sin embargo, dudo que dé mucho de sí."""
msc_011260_0050#0,"""En cuanto a este laboratorio..."""
msc_011260_0060#0,"""Atención a todos los miembros de ARKS."""
msc_011260_0070#0,"""Se confirma la actividad de los DOLLS en el Bosque Resol y en las Ruinas del Laboratorio Vanford."""
msc_011260_0080#0,"""Se aconseja a los ARKS que se encuentren en los alrededores que estén en alerta e investiguen"""
msc_011260_0090#0,"""Aquí Aina."""
msc_011260_0100#0,"""¿Señorita Aina? ¿Qué pasa?"""
msc_011260_0110#0,"""Nosotros también podemos ir. ¿Qué deberíamos hacer?"""
msc_011260_0120#0,"""Bien, entonces haré que se dirijan a las Ruinas del Laboratorio Vanford. Una vez en el lugar, danos un informe de situación."""
msc_011260_0130#0,"""En cuanto al Bosque Resol, voy a enviar al equipo de Bruder hacia allí."""
msc_011260_0140#0,"""Entendido. Vamos a salir ahora."""
msc_011260_0150#0,"""Las Ruinas del Laboratorio... Bueno, esto será una buena prueba para ver cómo hemos mejorado."""
msc_011260_0160#0,"""...Parece que hay otros ARKS presentes allí también. Por favor, reúnanse con ellos y presten asistencia."""
msc_011260_0170#0,"""Entendido."""
msc_011260_0180#0,"""Tengo todo lo que necesito para ir ahora mismo, ¿y vosotros dos?"""
msc_011260_0190#0,"""¡Bien hecho!"""
msc_011260_0200#0,"""Si tú también estás listo, entonces reunámonos allí."""
