msc_011060_0010#0,"""Espera aquí un segundo."""
msc_011060_0020#0,"""Termine."""
msc_011060_0030#0,"""Yo... también... Hah..."""
msc_011060_0040#0,"""Bien, puedes tomarlo con calma ahora."""
msc_011060_0050#0,"""Oh, debes haber estado tomando el mismo entrenamiento que nosotros."""
msc_011060_0060#0,"""Los tres habéis demostrado la habilidad y destreza para derrotar a vuestros enemigos."""
msc_011060_0070#0,"""Aina, tu puntuación ha estado a la altura de tus dos amigos Meteorn."""
msc_011060_0080#0,"""¿Que? ¿En serio? ...Ehehe"""
msc_011060_0090#0,"""Parece que harán un buen equipo juntos"""
msc_011060_0100#0,"""Con vuestros resultados, podemos empezar a enviaros al campo. Se lo transmitiré a Crawford en breve."""
msc_011060_0110#0,"""¡Luchemos juntos contra los DOLLS!"""
msc_011060_0120#0,"""Una última cosa. Alrededor de Halpha, hay instalaciones de entrenamiento como esta."""
msc_011060_0130#0,"""Todos contienen diferentes cursos, cada uno para entrenar diferentes habilidades y destrezas."""
msc_011060_0140#0,"""Si encuentras uno, asegúrate de utilizarlo para maximizar tu potencial"""
