name_7008#0,"""Rossa."""
msn_011065_002_0010#0,"""Muy bien, parece que fuiste capaz de fortalecer esa arma."""
msn_011065_002_0020#0,"""En primer lugar, no te preocupes por devolverme nada. Esas cosas son tuyas ahora"""
msn_011065_002_0025#0,"""Los equipos no crecen en los árboles, así que si encuentras alguno, tal vez quieras guardarlo para cosas como esta."""
msn_011065_002_0030#0,"""Además, también puedes hacer lo mismo con piezas de armadura, así que inténtalo."""
msn_011065_002_0040#0,"""En primer lugar, no te preocupes por devolverme nada. Esas cosas son tuyas ahora."""
msn_011065_002_0050#0,"""Oh, también, aquí hay un ARMA ESPECIAL que acabo de recibir. Creo que será muy útil."""
msn_011065_002_0060#0,"""Qué más... Oh, los N-Grinders se pueden encontrar en cualquier contenedor de artículos viejos que puedas encontrar en el campo"""
msn_011065_002_0070#0,"""Todavía no tengo ni idea de quién sigue poniendo esos por ahí, pero oye, no me quejo"""
msn_011065_002_0080#0,"""Caramba, sigo divagando, ¿no? Lo siento si es difícil para ti recordar todo esto."""
msn_011065_002_0090#0,"""Bueno, cuanto más sigas con ello, más fácil será coger el ritmo de las cosas."""
msn_011065_002_0100#0,"""Si alguna vez te confundes en lo que debes hacer a continuación, sólo recuerda las cosas que te dijimos, ¿de acuerdo?"""
msn_011065_002_0110#0,"""¡Y mi trabajo aquí está hecho! ¡Estoy deseando trabajar contigo!"""
msn_011065_002_0120#0,"""Hm?"""
msn_011065_002_0130#0,"""Oh, okay. Crawford dice que quiere verte. ¿Podrías subir a la sala de mando? Estará esperando."""
