name_7009#0,"""Oranje."""
msn_011064_001_0010#0,"""¡Ah, ahí estás! Soy Oranje."""
msn_011064_001_0020#0,"""Bueno, empecemos, ¿vale?"""
msn_011064_001_0030#0,"""¿Ya has hecho uso del puesto de comida?"""
msn_011064_001_0040#0,"""Aunque todos los ARKS necesitan un arma y una armadura, ¡su dieta es casi igual de importante!"""
msn_011064_001_0050#0,"""¡Comer de forma equilibrada puede dar a tu cuerpo esa ventaja extra que necesitas para acabar con las DOLLS!"""
msn_011064_001_0060#0,"""Para empezar, primero tienes que reunir los ingredientes. Veamos... ¿qué tal un poco de carne de Tames?"""
msn_011064_001_0070#0,"""Oh, los Tames son criaturas dóciles que andan por las afueras de Ciudad Central. Está el Dian, el Sunny, el Patt, el Moobel, el Taubel, etc."""
msn_011064_001_0080#0,"""Te he enviado algunas coordenadas, así que ve allí y encuentra algunos, ¿de acuerdo?"""
msn_011064_001_0101#0,"""Siento mucho lo que ha pasado en Ciudad Aerio. Me alegro de que no hayas resultado herido"""
msn_011064_001_0102#0,"""Primero, deberías descansar un poco, ¿vale?"""
msn_011064_001_0201#0,"""Abordar tus misiones en serio es bueno, pero por favor, recuerda ir a tu ritmo"""
msn_011064_001_0202#0,"""Por favor, mantén tu salud en plena forma, para cuando realmente lo necesites"""
