msc_011440_5010#0,"""¡Hah!"""
msc_011440_5020#0,"""¡Yah!"""
msc_011440_5030#0,"""¡Toh!"""
msc_011440_5040#0,"""¡Haaaah!"""
msc_011440_0010#0,"""...Lo hicimos."""
msc_011440_0020#0,"""Lo has hecho muy bien, Aina."""
msc_011440_0030#0,"""¡Gracias a los dos!"""
msc_011440_0040#0,"""Esos fueron buenos movimientos. Has mejorado mucho en poco tiempo."""
msc_011440_0050#0,"""Es por los consejos que me diste."""
msc_011440_0060#0,"""Comunicaciones restauradas.<br>no estoy captando a Nex Aelio..."""
msc_011440_0070#0,"""Crawford, misión completada. Volveremos en breve."""
msc_011440_0080#0,"""¡Bruder!"""
msc_011440_0090#0,"""...Ejem. Sí, por favor."""
msc_011440_0100#0,"""...Regresemos."""
