name_7004#0,"""Crawford."""
msn_011062_0010#0,"""Hola, gracias por venir."""
msn_011062_0020#0,"""Siguiendo adelante, me gustaría que conocieras más sobre este lugar"""
msn_011062_0030#0,"""Especialmente tú, que acabas de llegar a Halpha. Estoy seguro de que todavía hay mucho que te gustaría saber"""
msn_011062_0040#0,"""Los Operadores aquí presentes le servirán de apoyo para esto. Para los detalles más finos, por favor consúltales"""
msn_011062_0050#0,"""Right. Primero, ¿quieres ir a hablar con Liu Lin?"""
msn_011062_0101#0,"""Tienes mi agradecimiento por unirte a nosotros en esta lucha."""
msn_011062_0102#0,"""Batallas aún más grandes te esperan en el futuro, pero espero lo mejor. Es bueno tenerte."""
msn_011062_0201#0,"""Si algo te preocupa, me gustaría que te sintieras lo suficientemente cómodo como para hacérmelo saber."""
msn_011062_0202#0,"""Los Operadores seguramente también podrán aconsejarte"""
msn_011062_0301#0,"""Gracias por ofrecerse para una misión tan peligrosa"""
msn_011062_0302#0,"""Como he dicho antes, Nex Aerio es temiblemente fuerte. Tengan la máxima precaución"""
msn_011062_0303#0,"""La mejor de las suertes con Bruder."""
msn_011062_0401#0,"""Te he enviado las coordenadas del "Capullo" más cercano, una instalación de entrenamiento altamente optimizada. Un instructor te estará esperando allí con los detalles"""
msn_011062_0402#0,"""Por favor, dirígete allí después de hacer tus preparativos. Buena suerte."""
