Title#0,"""참극을 초래하는 파멸의 허영"""
Explanation#0,"""원한의 잔재로 이루어진 【페르소나】의<br>반응이 다시 우주의 변질공간에서 확인됐다.<br>온 우주의 파멸을 바라는 집념은 처절하게<br>치열한 싸움이 될 것으로 예상된다.<br>본 임무는 위험하기에, 상응하는 실적과<br>강한 각오를 가진 아크스만 선정한다.<br>――――――――――――――――――――<br>최대 데미지 제한/999999<br>실패조건/임무 실패, 제한시간 경과"""
SimpleExplanation#0,"""다크 펄스 페르소나를 격파하라!"""
NpcComMsg1#0,"""지금부터 다시 변질공간과 함께<br>출현한 다크 펄스 페르소나의<br>격파 작전을 시작합니다."""
NpcComMsg2#0,"""대상의 목적은 전 우주의 파멸.<br>아마 주위를 신경 쓰지 않는<br>위험한 공격이 예상됩니다."""
NpcComMsg3#0,"""저희를 걱정할 필요는 없습니다!<br>여러분이라면 반드시 이길 수<br>있습니다. 살아서 돌아와 주세요!"""
Area0S#0,"""【페르소나】반응 좌표 부근"""
Area0L#0,"""오라클 우주 영역 【페르소나】반응 좌표 부근"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
