Title#0,"""T:비극을 노래하는 원한의 허영"""
Explanation#0,"""소멸 했을 터인 【페르소나】의 반응이 우주<br>균열 내부에 출현한 변질공간에서 확인<br>되었다. 강한 원한이 잔재가 되어 이상한<br>모습을 이루었다고 추측된다. 각 아크스는<br>서둘러 현장으로 출격하여 전 우주의 파괴를<br>계획하는 【페르소나】를 저지하라.<br>――――――――――――――――――――<br>최대 데미지 제한/999999<br>실패조건/임무 실패, 제한시간 경과"""
SimpleExplanation#0,"""다크 펄스 페르소나를 격파하라!"""
NpcComMsg1#0,"""지금부터 작전을 시작하겠습니다.<br>이번 목적은 변질공간에 잠복 중인<br>다크 펄스 페르소나의 격파입니다."""
NpcComMsg2#0,"""대상의 목적은 전 우주의 파괴…<br>지금이야말로, 모든 아크스의<br>힘을 모아, 반드시 저지합시다!"""
Area0S#0,"""【페르소나】반응 좌표 부근"""
Area0L#0,"""오라클 우주 영역 【페르소나】반응 좌표 부근"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
