msc_012200_0010#0,"""うむ、あらかた片付いたかの。"""
msc_012200_0020#0,"""……さて、なぜ歌の力を使わぬのか、だったな。"""
msc_012200_0030#0,"""リテムリージョンの長は代々<br>“武”の力と、“歌”の力によって戦ってきた。だが……。"""
msc_012200_0040#0,"""ナーデレフには“歌”の力がないのだよ。"""
msc_012200_0050#0,"""あの子が我らの長となった日……。<br>多くのアークスがここに集まった。"""
msc_012200_0060#0,"""彼らの前でナーデレフは“戦舞の歌”を歌った。<br>だが、歌の力は現れなんだ。"""
msc_012200_0070#0,"""どうして？"""
msc_012200_0080#0,"""……わからぬ。"""
msc_012200_0100#0,"""集まった者たちは皆、動揺していたが、<br>最も辛かったのは、ナーデレフであろう。"""
msc_012200_0110#0,"""だが、それでもナーデレフは<br>長としての使命を全うし続けておる。"""
msc_012200_0130#0,"""余人にはなしえぬ鍛錬の果てに得た<br>“武”……それは“歌”の力に勝るとも劣らぬ。"""
msc_012200_0150#0,"""その努力と強さを称賛こそすれ、歌の力がないことを<br>非難する者は、わしらの中には誰ひとりおらぬ。"""
msc_012200_0161#0,"""……ナーデレフの歌の力について、<br>検証したデータなどはあるかしら？"""
msc_012200_0163#0,"""たとえば、記録映像とか……、<br>誰かの研究資料だとか……。"""
msc_012200_0165#0,"""さしつかえなければ、<br>そういうのを見せてもらいたいのだけれど。"""
msc_012200_0170#0,"""ふむ……、おそらくリテムシティの端末に<br>残っておると思うが……。"""
msc_012200_0180#0,"""では、シティに戻りましょう。"""
