msc_012230_0010#0,"""А теперь, приступим."""
msc_012230_0020#0,"""Это оплот Ренус Ритем...<br>“Купол”."""
msc_012230_0030#0,"""Остаётся только одно: пробраться через пустыню,<br>и спрыгнуть внутрь прямо к нему..."""
msc_012230_0040#0,"""Там мы немедленно нанесём удар!"""
msc_012230_0050#0,"""У нас осталось мало времени и сил,.. но мне нужна ваша помощь."""
msc_012230_0060#0,"""Спрыгнуть внутрь прямо к нему...<br>И вправду единственный способ."""
msc_012230_0070#0,"""Но купол хорошо защищён.<br>Пробиться будет не так просто."""
msc_012230_0080#0,"""Конечно, это будет не просто. Приблизившись к куполу,<br>мы начнём рассредотачивать свои силы насколько возможно..."""
msc_012230_0090#0,"""Сократив силы противника, основные силы, включая меня,<br>направятся к центру, где нас будет ждать Ренус Ритем."""
msc_012230_0100#0,"""Хади, Джарил, Мофсен и я обсудим детали операции.<br>Все должны подготовиться к началу.<br>На сегодня все свободны."""
msc_012230_0110#0,"""Прошу прощения, что в такой момент к вам обращаюсь.<br>Я хотела бы поговорить с вами о документах..."""
msc_012230_0120#0,"""Здесь хранятся записи прошлых сражений."""
msc_012230_0130#0,"""Спасибо."""
msc_012230_0140#0,"""Не думаю, что здесь найдётся информация, которая могла<br>бы помочь изменить ход битвы..."""
msc_012230_0150#0,"""Чего? Манон?"""
