msc_012240_0010#0,"""Ах... Нашлась."""
msc_012240_0020#0,"""Простите, что покинула своё место без предупреждения.<br>Я просто хотела подышать свежим воздухом..."""
msc_012240_0040#0,"""Это место, эта Хальфа... - суровое место.<br>Действительно... жестокое и беспощадное место..."""
msc_012240_0050#0,"""Манон?.."""
msc_012240_0060#0,"""Просто ради того, чтобы жить...<br>многие ARKS погибают в бою с DOLLS."""
msc_012240_0070#0,"""Это “Траурная Песня”...<br>Так ты знаешь о ней?"""
msc_012240_0080#0,"""Надереф..."""
msc_012240_0090#0,"""Что случилось?"""
msc_012240_0100#0,"""Я просматривала записи сражений...<br>и наткнулась на это..."""
msc_012240_0110#0,"""Регион Ритем уже... давно находится в постоянных боях...<br>Многие пожертвовали своей жизнью ради..."""
msc_012240_0120#0,"""………。"""
msc_012240_0130#0,"""В следующий раз, когда снова начнётся бой,..<br>будут очередные потери. Я так думаю..."""
msc_012240_0140#0,"""Что вы здесь делаете?"""
msc_012240_0150#0,"""...Грядёт время великой битвы. Так что, я поминаю<br>павших товарищей... и пою Траурную Песню."""
msc_012240_0160#0,"""………。"""
msc_012240_0170#0,"""И всем сердцем даю себе обещание,..<br>что больше не будет никаких жертв."""
msc_012240_0180#0,"""Но... - это реальность."""
msc_012240_0190#0,"""Если лишь одна я буду сильной,<br>то не смогу защитить остальных."""
msc_012240_0200#0,"""Если бы только у меня была сила [Песни]...<br>я бы не потеряла стольких товарищей."""
msc_012240_0210#0,"""Просто я недостаточно сильна..."""
msc_012240_0220#0,"""Ошибаетесь!"""
msc_012240_0230#0,"""Вы не виноваты...<br>Если кто действительно виноват, то..."""
msc_012240_0240#0,"""Извините. Забудьте о том,<br>что я говорила ранее."""
msc_012240_0250#0,"""Сила... песни..."""
msc_012240_0260#0,"""Это..."""
msc_012240_0270#0,"""Вот оно что!..<br>Я поняла!.."""
msc_012240_0280#0,"""Данные о прошлых лидерах, которые я исследовала ранее...<br>Они говорят, что ваша сила другая...<br>Да! Это была та, другая сила!"""
msc_012240_0290#0,"""……？"""
msc_012240_0300#0,"""Ваша настоящая сила!.."""
