11_voice_NPC_5227_100#0,"""Ah, good timing. Here... Take this."""
favs_before_020#0,"""It's not a big deal, just take it."""
favs_after_010#0,"""You seem surprised. It's just... I've caused a lot of trouble for you, and you've done so much for me."""
favs_after_020#0,"""This is my apology, and my thanks..."""
favs_after_030#0,"""A-are you happy now?! Just go away and do a mission or something!"""
skit_item_present_5227_010#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_020#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_030#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_040#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_050#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_060#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_070#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_080#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_090#0,"""Received <yellow><%skit_text><c> from Yucreta."""
skit_item_present_5227_100#0,"""Received <yellow><%skit_text><c> from Yucreta."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Yucreta."""
mb25_after_010#0,"""It feels kind of strange to be here on the ARKS Ship."""
mb25_after_020#0,"""I'm pretty sure people are looking at me funny, but there's no helping that. I was your enemy, after all."""
mb25_after_030#0,"""Look, I'm fine. But, uh...<br>Thanks for checking up on me."""
mb25_after_040#0,"""A-anyway...! If you have time to stand around chatting with me, you should be using that time to relax properly. Take care of yourself, OK?"""
11_voice_NPC_5227_100#1,"""Hmm... Oh, you're back."""
st01_020#0,"""Your physical condition looks... fine. Aurora doesn't have anything to say, so I guess the cleansing went well?"""
st01_030#0,"""I appreciate you coming to see me, but you should go talk to the others. Everyone wants to meet you."""
11_voice_NPC_5227_100#2,"""アウロラ？\u3000なんでも武器姿の方が<br>本人的に楽みたいで、最近はもっぱら<br>その姿のままのんびりしてるわよ。"""
st01_020#1,"""人型になってた時もあったけど<br>見た目的に目立つからね。<br>質問攻めにうんざりしたみたい。"""
st01_030#1,"""……反論もないし、今も寝てるわね。<br>ま、そのうち会えるんじゃない？"""
11_voice_NPC_5227_100#3,"""Didn't take long for things to get exciting around here once you were woken up."""
st01_020#2,"""You're a good person, but you do tend to plough ahead without thinking whether you're getting the people around you into trouble..."""
st01_030#2,"""I'm not complaining, it worked out for me. Just, please try to be careful."""
st01_010#0,"""人が相手……か。<br>今更ためらうようなものでもないわ。"""
st01_020#3,"""ハルコタンだってアムドゥスキアだって<br>相手は意志ある存在だったでしょ。<br>それと同じだと、あたしは思うわ。"""
st01_030#3,"""……何にせよ、気にしすぎるなって事。<br>主に戦う相手は、幻創種なんだからね。"""
11_voice_NPC_5227_104#0,"""So, her embodied weapon broke...<br>I didn't know that could happen."""
