name_7211#0,"""เซียนดี้"""
name_7224#0,"""ซิทเทร"""
ssn_019160_002_0010#0,"""ขอบคุณที่มานะ ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019160_002_0020#0,"""ฉันชื่อเซียนดี้ ตอนนี้กำลังวิจัยปรากฏการณ์ต่างๆ ที่เกิดขึ้นบนฮาลฟาน่ะ"""
ssn_019160_002_0030#0,"""ที่ฉันเรียกคุณมาวันนี้ก็เพราะว่า ช่วงนี้มีคนพบเห็นสิ่งมีชีวิตชนิดหนึ่ง..."""
ssn_019160_002_0011#0,"""ขอบคุณที่มานะ"""
ssn_019160_002_0021#0,"""ที่ฉันเรียกคุณมาคราวนี้ก็เพราะว่า ช่วงนี้มีคนพบเห็นสิ่งมีชีวิตชนิดหนึ่ง..."""
ssn_019160_002_0040#0,"""...อะไรนะ? อ้อ ทำไมฉันถึงแต่งตัวแบบนี้งั้นเหรอ?"""
ssn_019160_002_0050#0,"""...ค-คือว่านะ... ตอนนี้ฉันกำลังแต่งตัวเป็น... สิ่งมีชีวิตที่ฉันกำลังวิจัยอยู่น่ะ"""
ssn_019160_002_0060#0,"""มีคนคนหนึ่งบอกฉันว่า 'เพื่อที่จะเรียนรู้เกี่ยวกับสิ่งที่เราศึกษา เราต้องกลายเป็นสิ่งนั้นก่อน'... แล้วฉันก็ได้ชุดนี้มา"""
ssn_019160_002_0070#0,"""ม-มัน... น่าอายอยู่นะ แต่ฉันก็พยายามใส่มันอย่างเต็มที่เลย"""
ssn_019160_002_0080#0,"""...เอาเถอะ สิ่งที่เรากำลังวิจัยอยู่มีชื่อเรียกว่า 'Lillipan'"""
ssn_019160_002_0090#0,"""เนื่องจากยังไม่ทราบระบบนิเวศของพวกมัน เราเลยไม่แน่ใจว่าพวกมันโผล่มาทำไม หรือปกติพวกมันอาศัยอยู่ที่ไหน"""
ssn_019160_002_0100#0,"""ฉันหวังว่าจะได้ขอความช่วยเหลือจากคุณ ในการวิจัยสิ่งมีชีวิตลึกลับนี้นะ"""
ssn_019160_002_0110#0,"""ก่อนอื่น ฉันขอให้คุณเดินทางไปยังสถานที่ใดสถานที่หนึ่งที่เพิ่งมีคนพบเห็นพวกมันล่าสุดได้ไหม?"""
ssn_019160_002_0120#0,"""ขอบคุณมากเลยนะ"""
ssn_019160_002_0210#0,"""เยี่ยมมาก! ขอบคุณมากเลยนะที่ช่วยเหลือ!"""
ssn_019160_002_0220#0,"""พอได้รู้สถานการณ์ของพวก Lillipan แล้ว ฉันจะได้เขียนรายงานให้เสร็จสักที!"""
ssn_019160_002_0230#0,"""...นี่... ไหนๆ คุณก็อยู่ที่นี่แล้ว ฉันมีคำขออีกอย่างหนึ่งน่ะ..."""
ssn_019160_002_0240#0,"""เมื่อเร็วๆ นี้ เราสังเกตเห็นการเปลี่ยนแปลงบางอย่างในระบบนิเวศของ Resol Forest ด้วย ดูเหมือนจะมีพืชแปลกๆ เริ่มงอกขึ้นมาที่นั่น..."""
ssn_019160_002_0250#0,"""ช่วยไปตรวจสอบเรื่องนี้ให้ฉันด้วยได้ไหม?"""
ssn_019160_002_1010#0,"""ขอบคุณมากนะ <%me>"""
ssn_019160_002_1020#0,"""ด้วยความช่วยเหลือของคุณ ทำให้ฉันเก็บรวบรวมข้อมูลของพวก Lillipan มาได้"""
ssn_019160_002_1030#0,"""แม้การตรวจสอบจะเพิ่งเริ่มต้นขึ้น แต่ฉันคิดว่าพอจะบอกได้ว่าพวกมันไม่เป็นภัยหรอกนะ"""
ssn_019160_002_1040#0,"""เราจะดำเนินการตรวจสอบต่อไป"""
ssn_019160_002_1050#0,"""ฉันหวังว่าจะได้พึ่งพาความช่วยเหลือของคุณอีกในงานวิจัยครั้งหน้านะ"""
ssn_019160_002_1060#0,"""ขอบคุณมากอีกครั้งนะ"""
ssn_019160_002_1070#0,"""เอาล่ะทีนี้..."""
ssn_019160_002_1080#0,"""ทดสอบ 1 2 3... ได้ยินไหม? เฮ้! คุณคือ <%me> ใช่ไหมล่ะ?"""
ssn_019160_002_1090#0,"""ขอโทษที่จู่ๆ ก็ติดต่อไปนะ ฉันซิทเทร หัวหน้ากองเสบียงไง"""
ssn_019160_002_1100#0,"""ซิทเทรเหรอ? มีเรื่องอะไรรึเปล่า?"""
ssn_019160_002_1110#0,"""ไม่มีอะไรหรอก ฉันแค่ได้ยินเรื่องของ ARKS หน้าใหม่ที่ทุกคนพูดถึงกัน เลยคิดว่าจะขอร้องให้ <%me> ช่วยสักหน่อย"""
ssn_019160_002_1120#0,"""ยังไงก็เถอะ ช่วยทำให้เส้นทางเสบียงของเราปลอดภัยขึ้นหน่อยได้ไหม โดยการจัดการพวกศัตรูอะไรพวกนี้น่ะ?"""
ssn_019160_002_1130#0,"""อาจจะดูเป็นงานธรรมดาๆ ไปหน่อยสำหรับ ARKS ที่สู้แนวหน้า แต่คุณว่าไงล่ะ?"""
ssn_019160_002_1140#0,"""เอาเป็นว่าลองเอาไปคิดดูก่อนแล้วกันนะ ถ้าได้คุณช่วยเราคงขอบคุณมาก แล้วเจอกันนะ!"""
ssn_019160_002_1150#0,"""ด-เดี๋ยวก่อน ซิทเทร? ฮัลโหล?"""
ssn_019160_002_1160#0,"""...เอาล่ะสิ ดูเหมือนเธอจะทำตัวตามใจชอบเหมือนเดิมเลยนะ"""
ssn_019160_002_1170#0,"""ต้องขอโทษด้วยจริงๆ นะ แต่คุณช่วยรับคำขอของเธอด้วยได้ไหม?"""
ssn_019160_002_2010#0,"""ขอบคุณมากนะ <%me>"""
ssn_019160_002_2020#0,"""ด้วยความช่วยเหลือของคุณ ทำให้ฉันเก็บรวบรวมข้อมูลของพวก Lillipan มาได้"""
ssn_019160_002_2030#0,"""แม้การตรวจสอบจะเพิ่งเริ่มต้นขึ้น แต่ฉันคิดว่าพอจะบอกได้ว่าพวกมันไม่เป็นภัยหรอกนะ"""
ssn_019160_002_2040#0,"""เราจะดำเนินการตรวจสอบต่อไป"""
ssn_019160_002_2050#0,"""ฉันหวังว่าจะได้พึ่งพาความช่วยเหลือของคุณอีกในงานวิจัยครั้งหน้านะ"""
ssn_019160_002_2060#0,"""ขอบคุณมากอีกครั้งนะ"""
ssn_019160_002_2070#0,"""เอาล่ะทีนี้..."""
ssn_019160_002_2080#0,"""<%me>! ไม่เจอกันนานเลยนะ! ซิทเทรพูดอยู่!"""
ssn_019160_002_2090#0,"""...ยังจำฉันได้ใช่ไหม? ฉันหัวหน้ากองเสบียงไงล่ะ จำได้รึเปล่า?"""
ssn_019160_002_2100#0,"""ซิทเทรเหรอ? มีเรื่องอะไรรึเปล่า?"""
ssn_019160_002_2110#0,"""ม่ายมีหรอก ฉันแค่มีคำขออีกงานส่งให้ <%me> ตรงนั้นต่างหาก!"""
ssn_019160_002_2120#0,"""ช่วยทำให้เส้นทางเสบียงของเราปลอดภัยขึ้นหน่อยได้ไหม โดยการจัดการพวกศัตรูอะไรพวกนี้น่ะ?"""
ssn_019160_002_2130#0,"""ถ้าช่วยจะขอบคุณมากเลย! แล้วเจอกันนะ!"""
ssn_019160_002_2140#0,"""เดี๋ยวก่อน... ซิทเทร? ฮัลโหล?"""
ssn_019160_002_2150#0,"""เธอเนี่ย... ไม่เคยเปลี่ยนไปเลยจริงๆ ใช่ไหม?"""
ssn_019160_002_2160#0,"""ต้องขอโทษด้วยจริงๆ นะ แต่คุณช่วยรับคำขอของเธอด้วยได้ไหม?"""
ssn_019160_002_4010#0,"""ยังมีเรื่องราวอีกนับไม่ถ้วนที่เรายังไม่รู้เกี่ยวกับฮาลฟา"""
ssn_019160_002_4020#0,"""หน้าที่ของนักวิจัยอย่างเรา ก็คือการไขปริศนาเหล่านั้นทีละเรื่องนั่นแหละ"""
ssn_019160_002_5010#0,"""...ใส่ชุดนี้แล้วแทบจะมองไม่เห็นอะไรเลย..."""
ssn_019160_002_5020#0,"""แต่ถ้ามันช่วยให้เราเรียนรู้เกี่ยวกับ Lillipan ได้แม้เพียงนิดเดียวล่ะก็...<br>ฉันจะพยายามอย่างเต็มที่เลย"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้ม Seasonal (จนถึง $(0))"""
npc_menu_0030#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0040#0,"""ถามเกี่ยวกับกิจกรรม Seasonal"""
npc_menu_0050#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับกิจกรรม Seasonal"""
