un_020510_0010#0,"""아아, 너였나……"""
un_020510_0020#0,"""아니, 나는 다른 클래스와<br>연계 훈련을 하고 있는…… 중이다만……"""
un_020510_0030#0,"""오자 씨이?<br>무슨 일이신가요오?<br>자고 계신가요오?"""
un_020510_0040#0,"""좀 더 죽일 마음을 내 보자구요오.<br>이 앞의 적님은 이미 전부 리사가<br>해치워 버렸는데요오?"""
un_020510_0050#0,"""어머어머, 어라라?<br>당신과 이야기하고 계셨나요.<br>뭐, 그렇다면 어쩔 수 없네요오."""
un_020510_0060#0,"""그…… 뭐랄까, 조금<br>너무 지나친 것 아닌가, 리사?"""
un_020510_0070#0,"""그런가요오?<br>적은 적이니까 적답게<br>닥치는 대로 해치워야죠."""
un_020510_0080#0,"""아아, 안심하세요오.<br>연계 훈련 중에 오사 같은 건 안 해요.<br>전에 혼났으니까요오."""
un_020510_0090#0,"""그러니까 오자 씨는 안심하고<br>리사에게 달려드는 적님들을<br>쓱싹쓱싹, 해치워 주세요오."""
un_020510_0100#0,"""뭐, 헌터와 레인저의<br>연계로서는 옳다고 생각한다만……"""
un_020510_0110#0,"""자자, 가죠.<br>더 많이 해치우지 않으면<br>훈련도 안 된다구요오?"""
un_020510_0120#0,"""어디까지나 연계 훈련이지<br>적 섬멸이 목적은 아닌데……<br>저 녀석에게 말해 봐야 소용없겠군."""
un_020510_0130#0,"""정말이지…… 이럴 거면 차라리<br>그 포스 녀석과 함께하는 쪽이<br>연계하기 쉽겠군."""
