un_020300_0010#0,"""<%me>!<br>야호, 잘 지냈어?"""
un_020300_0020#0,"""나는 벌써 몇 번째인지도 모를<br>몰래 방문 중이야.<br>기척 차단도 완벽……할 거야."""
un_020300_0030#0,"""아이돌이 기척 차단이라니<br>왠지 이상한 이야기지만.<br>유명인은 힘들다고 해 둘게."""
un_020300_0040#0,"""응? 내가 아이돌을 계속하는 이유?<br>신변 보호 때문인데, 뭐 문제 있어?"""
un_020300_0050#0,"""그야 봐, 나 같은 존재는<br>언제 지워져도<br>이상하지 않은 입장이잖아?"""
un_020300_0060#0,"""그러니까 아이돌로<br>유명해져 두면<br>지우기 어렵지 않을까 해서."""
un_020300_0070#0,"""뭐든지 전부 없던 일로<br>덮어버릴 수만은 없을 테니까."""
un_020300_0080#0,"""게다가 나는 마이를 쓰는 이상<br>기억에서 엄청 쉽게 사라져.<br>그건 세계에서 존재가 희미해지는 거니까."""
un_020300_0090#0,"""그래도 아이돌로 열심히 해 두면<br>설령 내가 사라져 버려도<br>모두가 계속 기억해 주지 않을까 해서."""
un_020300_0100#0,"""무브먼트란 건 일시적인 거라<br>언젠가는 잊혀져 가……<br>그건 어쩔 수 없는 일이야."""
un_020300_0110#0,"""그래도 아주 잠깐이라도<br>모두의 기억에 남을 수 있도록……<br>노력하는 거야, 아이돌은."""
