un_020140_0010#0,"""야핫, 안녕.<br>임무 열심이구나."""
un_020140_0020#0,"""그러고보니 너, 이 무기종<br>알고 있어?"""
un_020140_0030#0,"""이건 카타나.<br>그 삼영웅의 필두, 레기아스가<br>주력으로 쓰는 특수무장이야."""
un_020140_0040#0,"""레기아스가 드디어<br>뒷사람들에게 그 기술을 전수할 마음이<br>든 것 같거든."""
un_020140_0050#0,"""말하자면, 레기아스의 직접 전수!\u3000랄까?<br>하하, 그렇게 으스댈 정도의<br>실력은 아니지만 말이야, 나는."""
un_020140_0060#0,"""좋~아, 그럼 특별히<br>이 누나가 카타나의 특성을<br>가르쳐 줄게!"""
un_020140_0070#0,"""무기종의 특성은~…<br>음~ 그러니까…일단<br>타이밍이 중요한 무기라는 것, 정도."""
un_020140_0080#0,"""호흡을 가라앉히고, 단숨에 발도!<br>호흡을 맞춰서, 한 수 앞을 잡는다!"""
un_020140_0090#0,"""…이런 느낌이야.<br>레기아스가 기술 전수를 못 할 만 하지.<br>엄청 신경 많이 써야 하니까."""
un_020140_0100#0,"""마음이 흔들려서 호흡이 흐트러지면<br>카타나 자체도 그냥 쇠몽둥이가 돼.<br>경험이 무엇보다 필요한 무기야."""
un_020140_0110#0,"""그래도, 그만큼 호흡이 맞았을 때의<br>공격력 같은 건, 굉장해.<br>뭐, 일단 만져 볼래?"""
