un_020150_0010#0,"""…어이쿠, 안녕.<br>위험했네, 하마터면<br>쏠 뻔했어."""
un_020150_0020#0,"""이거야, 새로 준비된<br>무기종, 불릿 보우.<br>나도 이쪽을 쓰고 있어."""
un_020150_0030#0,"""사거리는 뭐, 그럭저럭이려나?<br>곡사도 가능한 독특한 무기야."""
un_020150_0040#0,"""어설트 라이플도 있는데<br>왜 굳이 손으로…<br>같은 생각은 하지 말 것."""
un_020150_0050#0,"""불릿 보우를 다루는 데<br>필요한 건 탁월한 기술보다도<br>호흡을 맞추는 강한 마음."""
un_020150_0060#0,"""포톤은 의지의 힘.<br>의지나 마음은 물건에 깃드는 법이야."""
un_020150_0070#0,"""이렇게, 활시위를 한껏 당길 때<br>포톤을 담는 이미지려나."""
un_020150_0080#0,"""그리고 마음에 동요가 없다면<br>화살이 과녁을 빗나가진 않아."""
un_020150_0090#0,"""목표에 맞지 않는다면<br>그건 마음에 망설임이 있어서야."""
un_020150_0100#0,"""…라는 식으로 말이야.<br>거창하게 말해 봤지만<br>나도 아직 한참 미숙해."""
un_020150_0110#0,"""실수해서 아군을 겨눌 뻔할<br>정도니까 말이야."""
