msc_020020_0010#0,"""ขอบคุณทุกคนที่มารวมตัวกันที่นี่"""
msc_020020_0020#0,"""วันนี้คือวันที่<br>พวกเราทุกคนเตรียมพร้อมรับมือ"""
msc_020020_0030#0,"""เพื่อโค่นล้มผู้ที่สังหารหมู่ผู้คนในเมืองเอลิโอ (Aelio Town)<br>ด้วยดาบแห่งแสงอันไร้ความปรานี"""
msc_020020_0040#0,"""วันนี้ เราจะต้องกำจัด Dark Falz"""
msc_020020_0050#0,"""ตอนนี้ มันน่าจะกำลังซ่อนตัวอยู่ในอีกมิติหนึ่ง<br>เพื่อรักษารอยแผลที่ได้รับจากเซ็นทรัลแคนนอน (Central Cannon)"""
msc_020020_0060#0,"""อย่างไรก็ตาม มันจะไม่สามารถฟื้นฟูได้อย่างสมบูรณ์<br>หากไม่ได้ใช้สถานีเชื่อมต่อที่สเตีย (Stia)"""
msc_020020_0070#0,"""ไม่ช้าก็เร็ว มันจะต้อง<br>ปรากฏตัวขึ้นมาบนโลกนี้อีกครั้ง"""
msc_020020_0080#0,"""...และเมื่อถึงตอนนั้น เราจะโจมตีมัน"""
msc_020020_0090#0,"""เซ็นทรัลแคนนอน (Central Cannon) ที่สมบูรณ์แบบแล้ว<br>สามารถใช้งานได้อย่างต่อเนื่อง"""
msc_020020_0100#0,"""ปากกระบอกปืนสามารถทนต่อ<br>การยิงติดต่อกันหลายนัดได้แล้ว"""
msc_020020_0110#0,"""แต่ทว่า มันก็ยังต้องใช้เวลาพอสมควร<br>กว่าจะพร้อมยิงได้จริงๆ"""
msc_020020_0120#0,"""แม้พวกเราจะพยายามแค่ไหน<br>ก็ไม่สามารถลดระยะเวลาการเตรียมพร้อมลงได้เลย"""
msc_020020_0130#0,"""เมื่อ Dark Falz ปรากฏตัวขึ้น ผมขอให้พวกคุณ<br>ช่วยถ่วงเวลาไว้จนกว่าปืนใหญ่จะพร้อม"""
msc_020020_0140#0,"""การที่พวกคุณทุกคนมายืนอยู่ตรงนี้ได้<br>ต่างก็ผ่านความยากลำบากมามากมาย"""
msc_020020_0150#0,"""Dark Falz เป็นตัวตนที่<br>เหนือล้ำไปกว่าที่พวกเราจะจินตนาการได้"""
msc_020020_0160#0,"""ต่อให้พวกเราเตรียมตัวมาพร้อมแค่ไหน<br>ก็บอกไม่ได้เลยว่าจะเกิดอะไรขึ้นบ้าง"""
msc_020020_0170#0,"""ถึงอย่างนั้น ต่อให้สถานการณ์<br>จะไม่เป็นไปตามแผนที่วางไว้..."""
msc_020020_0180#0,"""ผมเชื่อว่าพวกเราจะสามารถ<br>รับมือกับมันได้ ไม่ว่าจะเกิดอะไรขึ้นก็ตาม"""
msc_020020_0190#0,"""เอลิโอ (Aelio)..."""
msc_020020_0200#0,"""รีเทม (Retem)..."""
msc_020020_0210#0,"""ควาริส (Kvaris)..."""
msc_020020_0220#0,"""และตอนนี้ ARKS จากสเตีย (Stia)<br>ทุกคนต่างร่วมมือร่วมใจกัน"""
msc_020020_0230#0,"""เท่าที่ผมรู้ เรื่องแบบนี้ไม่เคยเกิดขึ้น<br>มาก่อนในประวัติศาสตร์ของฮาลฟา (Halpha)"""
msc_020020_0240#0,"""ในที่สุดฮาลฟา (Halpha)<br>ก็รวมเป็นหนึ่งเดียวกันแล้ว"""
msc_020020_0250#0,"""ดังนั้น หากเราต้องการ<br>รักษาสายสัมพันธ์อันดีนี้ไว้ต่อไป..."""
msc_020020_0260#0,"""การต่อสู้ครั้งนี้จึงเป็นศึกที่<br>พวกเราจะแพ้ไม่ได้เด็ดขาด"""
msc_020020_0270#0,"""นี่คือสิ่งที่จะต้องใช้<br>พลังของทุกคนอย่างแท้จริง"""
msc_020020_0280#0,"""โปรดเฝ้าระวังอย่างใกล้ชิด<br>จนกว่าจะได้รับคำสั่งให้ออกปฏิบัติการ"""
msc_020020_0290#0,"""ขอให้ชัยชนะจงเป็นของพวกเรา!"""
