name01#0,"""Хильда"""
name02#0,"""Управление персонажем"""
linewindow#0,"""Управление персонажем"""
text00#0,"""Управление персонажем"""
text01#0,"""Это руководство позволит вам понять<br>основы управления персонажем."""
text02#0,"""Вы можете перемещать своего персонажа с помощью<br>левого аналогового джойстика.<br>"""
text03#0,"""Вы можете управлять камерой с помощью правого<br>аналогового джойстика."""
text04#0,"""Прыгнуть можно с помощью <%Jump>.<br><br>"""
text05#0,"""Обычную атаку можно провести с помощью <%NormalAttack>.<br><br><br>"""
text06#0,"""Использовать Фотон Арт либо технику можно<br>с помощью <%PhotonArts>.<br>Если вы правильно просчитаете момент для<br>обычной атаки, Фотон Арта (PA) либо техники,<br>то сможете выполнить мощную \""Just Attack\"" (JA)."""
text07#0,"""Увернуться от входящих атак можно<br>с помощью <%Avoid>."""
text08#0,"""Поднимать предметы можно с помощью <%Access>.<br>Если зажать клавишу <%Access> и пробежаться<br>рядом с предметами, то за раз можно будет<br>подобрать много предметов."""
text09#0,"""Чтобы использовать предметы и умения,<br>установленные на под-палитре, просто переместите<br>курсор на то, что хотите использовать,<br>и нажмите <%SubPalette>.<br><br>Перемещение курсора влево: <%SubPaletteLeft><br>Перемещение курсора вправо: <%SubPaletteRight><br>Использование: <%SubPalette>"""
text10#0,"""После открытия палитры оружия<br>с помощью <%PaletteReverse> или <%PaletteForce>,<br>вы можете переключить под-палитру<br>с помощью <%SubPaletteLeft> и <%SubPaletteRight>."""
text11#0,"""Перемещаться персонажем можно с помощью:<br><br>Вперёд - <%MoveForward><br>Назад - <%MoveBack><br>Влево - <%MoveLeft><br>Вправо - <%MoveRight>"""
text12#0,"""Контролировать положение камеры можно<br>с помощью мыши."""
text13#0,"""рыгнуть можно с помощью <%Jump>."""
text14#0,"""Обычную атаку можно провести<br>с помощью <%NormalAttack>."""
text15#0,"""Использовать Фотон Арт либо технику можно<br>с помощью <%PhotonArts>.<br>Если вы правильно просчитаете момент для<br>обычной атаки, Фотон Арта (PA) либо техники,<br>то сможете выполнить мощную \""Just Attack\"" (JA)."""
text16#0,"""Увернуться от входящих атак можно<br>с помощью <%Avoid>."""
text17#0,"""Поднимать предметы можно с помощью <%Access>.<br>Если зажать клавишу <%Access> и пробежаться<br>рядом с предметами, то за раз можно будет<br>подобрать много предметов."""
text18#0,"""Чтобы использовать предметы и умения,<br>установленные на под-палитре, просто переместите<br>курсор на то, что хотите использовать,<br>и нажмите <%SubPalette>.<br><br>Перемещение курсора влево: <%SubPaletteLeft><br>Перемещение курсора вправо: <%SubPaletteRight><br>Использование: <%SubPalette>"""
text19#0,"""После открытия палитры оружия<br>с помощью <%PaletteReverse> или <%PaletteForce>,<br>вы можете переключить под-палитру<br>с помощью <%SubPaletteLeft> и <%SubPaletteRight>."""
