choice01#0,"""О герое"""
choice02#0,"""About Hero Sword"""
choice03#0,"""About Hero Twin Machineguns"""
choice04#0,"""About Hero Talis"""
choice05#0,"""About Hero Time"""
choice06#0,"""About Weapon Switching PAs"""
choice_end#0,"""Уйти"""
Title#0,"""Герой"""
text0001#0,"""Герой - класс-преемник, который предоставляет<br>возможность ведения боя с несколькими врагами<br>одновременно.<br><br>Герои могут использовать:<br>мечи, парные пистолеты-пулемёты и талисы.<br>Однако они используют их совершенно иначе,<br>относительно известных обычных классов.<br><br><c ffff00>Меч<c><br>Выполняет быстрые удары в ближнем бою.<br>С помощью \""Aura Bullet\"" наносит урон<br>на средней дистанции.<br><c ffff00>Парный пистолет-пулемёт<c><br>Подходит для дальних дистанций.<br>С помощью \""Reload\"" быстр восстанавливает PP.<br><c ffff00>Талис<c><br>Использует Фотон Арты с нанесением урона<br>с течением времени.<br>\""Marker\"" позволяет быстро перемещаться."""
text0002#0,"""Чтобы сменить класс на героя, для начала нужно<br>выполнить определённый клиентский заказ.<br><br>Чтобы выполнить этот клиентский заказ, необходимо<br>получить титул, условием получения которого<br>состоит в <c ffff00>достижении 2-я или более<br>классами 75 уровня или выше<c>."""
text0003#0,"""Герой отличается от других классов<br>по многим моментам:<br><br>・Нельзя выбрать под-класс<br>(Если квест имеет ограничение на уровень<br>под-класса и класса вместе, учитывается только<br>уровень основного класса).<br><br>・Некоторые потенциалы и кольца умений не действуют<br>(Например:<br>Battle Awakening, R/Attack Advance, и т.д.)<br><br>・Имеет свой набор заказов по снятию<br>ограничений уровня<br>・Партнёрам поддержки нельзя выбрать класс герой."""
Title#1,"""Меч героя"""
text0001#1,"""При экипировке меча, герой выполняет<br>атаки и Фотон Арты \""Hero Sword\""<br>вместо обычных атак мечом.<br><br>Меч героя отличается широким диапазоном<br>и высокой скоростью атаки.<br><br>Есть некоторые Фотон Арты меча героя,<br>которые можно заряжать, получая производные версии.<br><br>А также имеются Фотон Арты, помогающие быстро<br>переключаться на другое оружие героя при зажатии<br>клавиши Фотон Арта после активации."""
text0002#1,"""Меч героя позволяет стрелять пулями (Aura Bullet)<br>для атаки на средней дистанции.<br><br>Вы можете зарядить пулю, удерживая кнопку,<br>при этом выпущенная заряженная пуля<br>будет мощнее обычной."""
Title#2,"""Парные ПП героя"""
text0001#2,"""При экипировке парных пистолетов-пулемётов героем,<br>они выполняют атаки и Фотон Арты<br>\""Парных ПП героя\"", вместо обычных атак<br>парных ПП.<br><br>Парные пистолеты-пулемёты героя имеют большую<br>дальность поражения и способны вести непрерывный<br>огонь дольше, чем обычные парные ПП, а также<br>способны выполнять мощные дальние атаки.<br><br>У парных ПП героя аналогично мечу имееются<br>Фотон Арты позволяющие автоматически переключаться<br>на другие оружия при зажатии клавиши Фотон Арта<br>после активации."""
text0002#2,"""При обычных атаках парные ПП героя потребляют PP.<br><br>Испльзуйте действие оружия \""Reload\"" (перезарядка),<br>чтобы восстановить PP.<br><br>Вы можете продолжить перезарядку, удерживая<br>кнопку действия оружия.<br><br>Кроме того, если вы попробуете выполнить перезарядку<br>в Just Attack, то скорость восстановления PP<br>увеличится."""
text0003#1,"""При экипировке парных ПП героем, потенциалы<br>на расход и восстановление РР применяются<br>следующим образом.<br><br>Потенциалы на восстановление РР применяется<br>при нахождении парных ПП в ножнах<br>(не в руках).<br><br>Потенциалы на расход РР применяются к обычным<br>атакам в дополнение к Фотон Артам и техникам."""
Title#3,"""Талис героя"""
text0001#3,"""При экипировке талиса героем, он выполняет<br>атаки и Фотон Арты \""Талиса героя\"",<br>вместо обычных атак талиса.<br><br>Талис героя способен использовать Фотон Арты,<br>которые нельзя использовать с обычными талисами,<br>а также может выполнять различные атаки, комбинируя<br>с Фотон Артами и техниками.<br><br>Аналогично предыдущим оружиям героя, некоторые<br>Фотон Арты героя способны переключать оружие<br>при зажатии клавиши Фотон Арта после активации."""
text0002#3,"""При нажатии и удержании кнопки действия оружия<br>талиса героя, вы можете выполнить маркирующий бросок<br>в выбранное место.<br><br>При появлении маркера, если вновь нажать<br>на кнопку действия оружия, можно быстро<br>переместиться к маркеру."""
Title#4,"""『ヒーロータイム』について"""
text0001#4,"""Gear героя расходуется во время действия классового<br>умения \""Hero Time\"".<br>По изучении \""Hero Time\"" Gear появится<br>над оружием героя.<br><br>Gear накапливается за счёт атаки по врагу.<br>Продолжая проводить одну и ту же атаку много раз,<br>вы снизите скорость накопления Gear, но через<br>некоторое время она вернётся в норму.<br><br>В момент заполнения шкалы Gear вы сможете<br>активировать \""Hero Time\"".<br>Пока действует Hero Time, Gear расходуется,<br>а сила атаки увеличивается, когда вы<br>атакуете врага."""
text0002#4,"""Умение \""Hero Time Finish\"" это классовое умение,<br>которое использует технику завершения посредством<br>повтороной активации во время Hero Time.<br><br>Пока действует Hero Time, применяется эффект<br>увеличения силы, но эффект пропадает после<br>использования завершающего приёма.<br>Определите момент использования.<br><br>Будь то меч, парные ПП или талис:<br>у всех свой завершающий приём."""
Title#5,"""Фотон Арты переключающие оружия"""
text0001#5,"""У каждого оружия героя имеется Фотон Арт,<br>который может переключать оружие.<br><br>У каждого оружия имеется Фотон Арт, переключающий<br>оружия на другие типы оружия.<br><br>Оружие можно переключать нажатиме и удержанием<br>кнопки при использовании Фотон Артов.<br>Если просто без удержкания нажать<br>на кнопку использования данного Фотон Арта,<br>то данный Фотон Арт будет просто использован<br>без переключения на другое оружие."""
text0002#5,"""При переключении оружий с помощью Фотон Артов,<br>если у вас имеется несколько видов оружия на<br>палитре оружия, на которые вы переключаетесь,<br><c ffff00>то вы переключитесь на ближайшее в порядке<br>возрастания<c>.<br><br>(Например, талис героя на 2-й палитре оружия<br>переключается на парные ПП героя<br>на 3-й палитре, <c ffff00>так как ни являются<br>ближайшими в порядке возрастания<c>.)"""
