title00#0,"""Челендж квесты"""
title01#0,"""Бонус дополнительной зарядки"""
text01#0,"""Задачей челендж-квеста является <red>выполнение<br>определённой миссии до истечения VR энергии<c>.<br><br>Квест заканчивается в одном из следующих случаев:<br><yellow>・Указанная миссия выполнена<br>・Закончилась VR энергия<c><br><br>VR энергия общая для всех участников.<br>Оставшееся количество энергии тображается<br>в виде зелёной полосы."""
text02#0,"""На челендж-квестах ваш класс временно сменится<br>на челенджера.<br><br>Челенджер имеет следующие осбенности:<br><yellow>・Может экипирвать любое оружие и броню<br>・Может изучать и экипировывать все Фотон Арты,<br>техники и умения/навыки с дисков<c><br><br>Одновременно можно использовать до 2х стоек за раз.<br>※Некоторые стойки нельзя использовать вместе."""
text03#0,"""VR энергия отображает ограничение времени квеста.<br><br>VR энергия потребляется при следующих условиях:<br><yellow>・Вместе с идущем временем квеста<br>・Игрок становится небоеспособным<c><br><br>VR энергию можно восстановить подбором<br>энергетических капсул.<br>Собранная энергия общая для всех участников.<br><red>※Некотрые капуслы не тображаются на мини-карте<c>."""
text04#0,"""Когда игрок становится небоеспособным, расходуется<br>значительное количество VR энергии.<br><br>Затраченную энергию можно восстановить, если<br>восстановить игрока следующим спсобом:<br><yellow>・Использовав Moon Atomizer<c><br><br><red>При воскрешении любым другим спосбом VR энергия<br>не восстановится<c>, поэтому постарайтесь<br>восстанавливать товарищей по команде с помощью<br>Moon Atomizer'ов.<br><br>Кроме того, если у небоеспособного игрока есть<br><yellow>Challenge Doll<c>, он автоматически восстановится<br>без расхода VR энергии."""
text05#0,"""Во время квеста есть точки называемые<br>промежуточными бластями. По достижении этой<br>области, расход VR энергии временно<br>приостанавливается.<br>※Энергия будет по-прежнему расходоваться,<br>когда игрок будет небоеспособным,<br>и восстанавливаться при использовании<br>Moon Atomizer'ов.<br><br>Кроме того, все игроки, не достигшие данной области<br>за определённое время, принудительно перенесутся.<br><red>Небоеспособные игроки воскресятся, но VR энергия<br>не восстановится.<c>"""
text06#0,"""В промежуточной зоне вы сможете использовать<br>магазин обмена, чтобы обменивать имеющиеся предметы<br>на другие, более полезные для вас.<br><br>Пополняйте запасы предметов для восстановления<br>для следующей миссии и обменивайтесь оружием<br>и дисками.<br><br>Если у вас недостаточно предметов для обмена,<br>то можете попросить их у членов вашей группы."""
text07#0,"""Вы можете получить челендж-мили после завершения<br>челендж-квеста. Челендж-мили можно обменять<br>на различные предметы в магазине обмена<br>в торговой зоне.<br><br>Мили в основном можно заработать следующими<br>способами:<br><yellow>・Завершением миссий<br>・Получением кисталла-миль<c><br>Степень прохождения миссии определяется положением<br>самого первого игрока. Кроме того, сумма,<br>полученная за кристаллы миль, распределяется<br>на всех участников."""
text08#0,"""После того, как вы закончите челендж-квест,<br>ваш личный рекорд будет отображаться при следующем<br>прохождении квеста.<br><br>Он указывает на ваш текущий рекорд прохождения<br>и будет обновляться по мере обновления рекорда.<br><br>Ваш рекорд - синяя табличка.<br>Рекорды остальных участников - серебрянные<br>табличнки."""
text09#0,"""На челендж-квестах предметы, которые выпадают<br>с врагов или контейнеров, для каждого свои.<br><br><yellow>Другие игроки не смогут поднять ваши выпавшие<br>предметы, поэтому обязательно собирайте<br>все появляющиеся предметы.<c>"""
text10#0,"""При восстановлении VR энергии сверх 100%, вы можете<br>получить дополнительный заряд в зависимости<br>от восстановленного объёма.<br><br>Бонус дополнительной зарядки даёт 1 челендж милю<br>за каждые 2.5% восстановления VR энергии,<br><red>но VR энергия никогда не превысит 100%, поэтому<br>не забывайте об этом<c>.<br><br>※Это руководство всегда можно просмотреть повторно:<br>\""Система\"" → \""Информация\"" → \""Обучение\""."""
