text10#0,"""О S-ATK, R-ATK и T-ATK"""
text20#0,"""О атрибутах"""
text30#0,"""О OT и NT оружиях"""
text40#0,"""О заточке NT """
text50#0,"""О разблокировке потенциала у NT оружия"""
text60#0,"""О заточке атрибута"""
text70#0,"""О пробитии огранич. на заточку"""
text80#0,"""О факторе особой способности"""
text90#0,"""Вернуться"""
text14#0,"""Вернуться"""
Title#0,"""OT и NT оружия"""
text01#0,"""Существует 2 типа оружия:<br>\u3000- \""Старого Типа\"" (ОТ)<br>\u3000- \""<c 00ffff>Нового Типа<c>\"" (NT)<br><br>Начиная с 4-го эпизода ввели новые оружия,<br>которые назвали оружиями <c 00ffff>Нового Типа<c><br>или же просто NT оружиями."""
text02#0,"""При заглядывании в<c 00ffff><c> \""Подробности предмета\""<br>оружия Нового Типа, вы можете<br>заметить полоску EXP.<br>Они будут также выделены синей рамкой<br>вокруг значка оружия.<br><br>※Некоторые оружия имеют окончание \""<c 00ff00>-NT<c>\"" что значит,<br>что это оружие Нового Типа."""
text03#0,"""С оружием Нового Типа, нам предложили гораздо<br>лучшие характеристики и эффективность,<br>чем оружие Старого Типа.<br><br>Различные враги, а также \""Коллекция файлов,\""<br>могут выдать NT оружия."""
Title#1,"""Заточка NT оружия"""
text01#1,"""Вы можете улучшить оружие в лаборатории<br>предметов.<br>Подобное улучшение позволит настроить ваше<br>оружие и броню в виде юнитов."""
text02#1,"""Для улучшения вам может понадобиться следующее:<br><br>- Grinder'ы;<br>-Месета (основная внутриигровая валюта);<br>- Другое NT оружие.<br><br>Обратите внимание, что вышеупомянутое будет<br>использоваться в процессе улучшения<br>оружия и юнитов."""
text03#1,"""Улучшение может быть как успешным,<br>так и неудачным.<br>Когда процесс проходит успешно, эффективность<br>вашего оружия улучшается.<br>Если оно проходит неудачно, то есть вероятность,<br>что эффективность может снизиться."""
text04#0,"""Успешная заточка отобразит новый уровень<br>заточки относительно предыдущего."""
text05#0,"""Чем больше вы добавите оружия, тем больше<br>получите бонусного EXP за успешную заточку.<br><br>Вы можете увеличить шанс успеха с помощью<br>\""Предмета поддержки\"", а также<br>предметом \""Great Grind Success\"" с N%."""
text06#0,"""После улучшения, оружие получит окончание<br>с показателем степени заточки.<br><br>\u3000\u3000Например: \""(Название оружия)+1\""<br><br>Это означает, что оружие было заточено до<br>первого уровня."""
Title#2,"""Разблокировка потенциала у NT оружия"""
text01#2,"""Как и у оружий Старого Типа, у оружий<br>Нового Типа так же имеется разблокируемая<br>\""<yellow>Потенциальная Способность<c>\""<c>.<br><br>У всех потенциальных способностей имеются<br>уникальные критерии, по которым их можно<br>разблокировать.<br><br>Однако, чтобы использовать эти способности,<br>оружие Нового Типа должно достигнуть<br>определённого состояния:<br><br><yellow>\u3000Этап заточки: \""+10\"" → \""+11\""<br>\u3000Этап заточки: \""+20\"" → \""+21\""<br>\u3000Этап заточки: \""+30\"" → \""+31\""<c><br><br>При выполнении этих условий можно автоматически<br>разблокировать \""Потенциальную Способность\""."""
text02#2,"""Для разблокировки потенциальной способности<br>требуются такие материалы, как \""Photon Crystal\""<br>и месета."""
text03#2,"""Каждая потенциальная способности имеет<br>3 уровня.<br><br>Чем выше уровень потенциальной способности,<br>тем лучше эффект."""
text00#0,"""Заточка атрибута у NT оружия"""
text01#3,"""У каждого оружия имеется как \""Атрибут\""<br>так и \""Значение Атрибута\"".<br><br>\""Атрибут\"" зависит от типа элемента оружия.<br>\""Атрибут\"" относится к проценту способности<br>элемента оружия."""
text02#3,"""Чтобы увеличить значение атрибута оружие,<br>вам нужно другое оружие в качестве материала.<br><br>По этой же причине оружие должно быть<br><yellow>той же редкости и того же типа<c>."""
text03#3,"""При использовании оружия того же типа с той же<br>редкостью, и тем же названием, что у целевого<br>оружия,<yellow>значение атрибута значительно<br>возрастёт<c>.<br><br>※Значение будет увеличиваться, даже если<br>атрибуты различны как по значению, так и<br>по самому элементу атрибута.<br><br>Обычные значения атрибутов ограничены 50.<br>Тем не менее,<br>оружия и яйца редкостью 13★ и выше имеют уже<br>максимальное значение в 60."""
text04#1,"""Чем значение атрибута, тем больше урона<br>вы наносите врагу. Кроме того, урон,<br>соответствующий слабости противника,<br>увеличит наносимый урон!<br><br>Атрибут определяется при получении оружия, но,<br>может быть изменён позже с помощью<br>предметов поддержки."""
text00#1,"""Пробите ограничения на заточку"""
text01#4,"""Для оружия Нового Типа ограничение заточки<br>установлено на \""+30\"".<br><br>Когда оружие затачивается до \""+30\"",<br>его потенциальная способность<br>поднимется до \""3ур.\""."""
text02#4,"""Тем не менее, вы можете пробить ограничение<br>до +35, выполнив одно из следующих действий:<br><br>\u3000・Используя <yellow>оружие с тем же названием<c>,<br>какое и у затачиваемого оружия, или<br>\u3000・Используя предмет поддержки \""Grind Cap +1\""<br><br>※Этот процесс может повторяться несколько раз,<br>пока вы не достигните предела заточки.<br>(Максимальное ограничение: +35)"""
text00#2,"""Фактор особой способности"""
text01#5,"""У некоторых NT оружий открывается<br><c 00ffff>\""Фактор Особой Способности\""<c><br>при достижении заточки \""+35\"".<br><br>Эти факторы особых способностей являются<br>уникальными особыми способностями, которые вы<br>можете выбрать при добавлении \""Особых Способностей\""."""
text02#5,"""Вы предварительно можете с ним ознакомиться<br>с помощью опции<br>\""Подтв. фактора особой способности\"".<br><br><yellow>※Фактор особой способности не связан с теми же<br>ограничениями, кои есть у большинства обычных<br>особых способностей.<c>"""
Title#3,"""<br>S-ATK, R-ATK и T-ATK<br>"""
text01#6,"""Существует 3 типа атак:<br>S-ATK, R-ATK и T-ATK.<br><br>S-ATK наносится с помощью атак ближнего боя<br>при использовании оружий ближнего боя.<br>R-ATK наносится с помощью атак дальнего боя<br>при использовании оружий дальнего боя.<br>T-ATK наносится с помощью техник<br>при использовании оружий технического типа.<br><br>Чем выше значение урона, тем больше вы наносите<br>урона атаками определённого типа."""
text02#6,"""Кроме того, при более высоком значении DEX<br>снижается разброс урона, что означает,<br>что урон будет более стабильным.<br><br>Существует 3 типа защиты:<br>S-DEF, R-DEF и T-DEF, каждый из которых<br>уменьшает урон от определённого типа урона.<br>Повышая DEX, вы можете уменьшить входящий урон."""
Title#4,"""Атрибуты"""
text01#7,"""Существует 6 типов атрибутов:<br>Огонь, Лёд, Молния, Ветер, Свет и Тьма.<br><br>Оружие с атрибутом будет наносить<br>дополнительный урон по врагам,<br>который, при этом, будет ещё увеличиваться<br>в случе, если будет наноситься урон врагу<br>с слабостью к данному атрибуту."""
