choice01#0,"""О этуале"""
choice02#0,"""О двойной глефе этуаля"""
choice03#0,"""О парных клинках этуаля"""
choice04#0,"""О ванде этуаля"""
choice05#0,"""О умениях и навыках этуаля"""
choice_end#0,"""Уйти"""
Title#0,"""Этуаль"""
text0001#0,"""Этуаль - класс-преемник, обладающий сильными<br>Внавыками и умениями для защиты и поддержки.<br><br>Этуаль владеет двойной глефой, парными клинками<br>Ви вандом.<br><br><yellow>Двойная глефа<c><br>Расчитана на высокую мобильность с упором на<br>Введение боя в вздухе.<br><yellow>Парные клинки<c><br>С ними можно наносить безжалостные,<br>Внепрекращающиеся атаки.<br><yellow>Ванд<c><br>Выполняет атаки, позволяющие свободно двигаться."""
text0002#0,"""Чтобы сменить класс на этуаля, для начала нужно<br>выполнить определённый клиентский заказ.<br><br>Чтобы выполнить этот клиентский заказ, необходимо<br>получить титул, условием получения которого<br>состоит в <c ffff00>достижении 2-я или более<br>классами 75 уровня или выше<c>."""
text0003#0,""Этуаль отличается от других классов<br>по многим моментам:<br><br>・Нельзя выбрать под-класс<br>(Если квест имеет ограничение на уровень<br>под-класса и класса вместе, учитывается только<br>уровень основного класса).<br><br>・Некоторые потенциалы и кольца умений не действуют<br>(Например:<br>Battle Awakening, R/Attack Advance, и т.д.)<br><br>・Имеет свой набор заказов по снятию<br>ограничений уровня<br>・Партнёрам поддержки нельзя выбрать класс этуаль."""
Title#1,"""Двойная глефа этуаля"""
text0001#1,"""При экипировке двойной глефы, этуаль выполняет<br>атаки и Фотон Арты \""Etoile Double Saber\""<br>вместо обычных атак двойной глефой.<br><br>Двойная глефа этуаля обладает высокой мобильностью<br>и хорошими лётными параметрами, что делает<br>её эффективной в бою в воздухе.<br><br>Есть много умений, которые изменяют её действия,<br>и вы можете повысить эффективность в бою,<br>выбрав те, которые подходят вашему стилю боя."""
text0002#1,"""При изучении классового навыка этуаля<br>\""Etoile Double Saber Gear\"",<br>шкала Gear появится над палитрой оружия.<br><br>Gear увеличивается при атаке врага, и при<br>получении удара, расходуется часть шкалы Gear,<br>уменьшая урон.<br><br>Активная атака лишь усилит защиту,<br>поэтому можно уверенно вести бой."""
text0003#1,"""Вы также можете использовать Gear, чтобы<br>активировать мощную атаку \""Enhance Attack\"".<br><br>Независимо от того, используется ли Gear<br>для атаки или защиты, старайтесь использовать<br>его в соответствии с ситуацией в бою.<br><br>Усиление атаки:<br><yellow>・Удерживая нажатой кнопку обычной атаки<c><br>используйте одну шкалу Gear,<br>чтобы совершить мощную атаку.<br><br><red>※Если активировать эту атаку, когда Gear накоплен<br>менее чем на 1 шкалу, то мощность снизится.<c>"""
text0004#0,"""Двойная глефа этуаля может выполнить Just Guard<br>с помощью действия оружия \""Deflect\"".<br><br>Чтобы после успешного Just Guard контратаковать<br>врага, нужно следом повторно использовать<br>действие оружия \""Deflect\"".<br>Таким образом можно нанести большой урон.<br><br>Даже без Just Guard можно выполнять Deflect<br>в комбо много раз."""
text0005#0,"""Двойная глефа этуаля обладает множеством умений,<br>позволяющих выполнять особые действия.<br>Тщательно выбирайте умения и настраивайте<br>действия оружия двойной глефы этуаля, чтобы они<br>соответствовали вашему стилю боя.<br><br>Step Slide двойной глефы<br><yellow>・Во время Step, снова выполните Step,<c><br>чтобы перейти к плавному движению,<br>которое позволит вам контролировать<br>направление.<br>※Скорость движения увеличена, пока вы нацелены."""
text0006#0,"""Skip Arts двойной глефы<br><yellow>・Если при использовании Фотон Арта<br>не нажимать клавишу направления,<br>то можно пропустить первую половину Фотон Арта<c>.<br><br><yellow>・Если во время использования Фотон Арта<br>зажать клавишу направления, то Фотон Арт<br>будет работать также, как если бы умение<br>\""Skip Arts\"" не было изучено<c>."""
text0007#0,"""Quick Take двойной глефы<br><yellow>・После Фотон Арта или действия оружия<br>при использовании Фотон Арта<br>или действия оружия с нацеливанием,<br>персонаж быстро летит на противника<br>чтобы нанести удар<c>.<br><br>Step Guard двойной глефы<br><yellow>・При подходе к врагу, когда тот собирается ударить,<br>выполните Just Guard, чтобы защититься от удара<br>и провести скоростную контр-атаку<c>."""
