linewindow#0,"""<br>Персонажи-партнёры<br>"""
text00#0,"""Персонажи-партнёры"""
text01#0,"""Выплнив определённые условия, вы можете отправиться на приключения с персонажами-партнёрами.<br><br>Персонажей-партнёров можно вызвать в терминале челнока.<br><br>Однак вы не можете вызвать уже вызванных персонажей-партнёров на том же квесте."""
text01#1,"""Отлично. На этом вопрос<br>касательно моей просьбы<br>закрыт."""
text02#0,"""Ну как? Это было хоть немного полезно?<br>Примерно так работают клиетские заказы."""
text03#0,"""Теперь же ты сам будешь брать их и выполнять."""
text04#0,"""Ну, если тебе покажется что-то тяжёлым, то можешь отложить это или же отказаться. Необдуманные решения фатальны."""
text05#0,"""Раз мы заговорили об этом, вот моя карточка партнёра. Если тебе когда-нибудь понадобится помощь, просто позови меня, хорошо?"""
linewindow001#0,"""Добавились новые клиентские заказы от друзей ARKS.<br>"""
linewindow002#0,"""<br>Теперь вы можете вызвать Зено в качестве партнёра.<br>"""
linewindow003#0,"""<br>Пожалуйста, выберите событие для дальнейшего продвижения.<br>"""
