Skit01_000#0,"""Награды за приглашение"""
Skit01_010#0,"""За приглашение другом,<br>в качестве награды вы получите<br>белый значок ARKS."""
Skit01_011#0,"""Его можно будет обменять<br>на приятную награду при<br>достижении 10 уровня или выше."""
Skit01_012#0,"""Для начала, постарайтесь<br>достичь 10-го уровня."""
Skit01_020#0,"""Награды выдаются на<br>пределённых уровнях."""
Skit01_021#0,"""Пожалуйста, повысьте<br>свой уровень."""
Skit01_030#0,"""Больше нет наград."""
Skit01_040#0,"""Вы не были приглашены другом."""
Skit02_000#0,"""Уйти"""
Skit02_001#0,"""Обмен награды 10-го уровня"""
Skit02_002#0,"""Обмен награды 20-го уровня"""
Skit02_003#0,"""Обмен награды 30-го уровня"""
Skit02_004#0,"""Обмен награды 40-го уровня"""
Skit02_005#0,"""Обмен награды 50-го уровня"""
