choice01#0,"""О фантоме"""
choice02#0,"""О роде"""
choice03#0,"""О катане"""
choice04#0,"""О винтовке"""
choice05#0,"""О Phantom Marker"""
choice06#0,"""О Phantom Time"""
choice_end#0,"""Уйти"""
Title#0,"""Фантом"""
text0001#0,"""Фантом - класс-преемник, сочитающий в себе<br>сильные способности уклонения с большим<br>разнообразием атак.<br><br>Фантомы могут использовать роды, катаны<br>и винтовки. Однако они их используют совершенно<br>иначе, чем любые прочие классы.<br><br><c ffff00>Род<c><br>На комбо-атаки с Фотон Артами и техниками.<br><c ffff00>Катана<c><br>С высокой манёвренностью, и большой мощностью.<br><c ffff00>Винтовки<c><br>Атакуют с использванием \""Bit'ов\""."""
text0002#0,"""Чтобы сменить класс на фантома, для начала нужно<br>выполнить определённый клиентский заказ.<br><br>Чтобы выполнить этот клиентский заказ, необходимо<br>получить титул, условием получения которого<br>состоит в <c ffff00>достижении 2-я или более<br>классами 75 уровня или выше<c>."""
text0003#0,"""Фантом отличается от других классов<br>по многим моментам:<br><br>・Нельзя выбрать под-класс<br>(Если квест имеет ограничение на уровень<br>под-класса и класса вместе, учитывается только<br>уровень основного класса).<br><br>・Некоторые потенциалы и кольца умений не действуют<br>(Например:<br>Battle Awakening, R/Attack Advance, и т.д.)<br><br>・Имеет свой набор заказов по снятию<br>ограничений уровня<br>・Партнёрам поддержки нельзя выбрать класс фантом."""
Title#1,"""Род Фантома"""
text0001#1,"""При экипировке рода, фантом выполняет<br>атаки и Фотон Арты \""Phantom Rod\""<br>вместо обычных атак родом.<br><br>Род фантома специализируется на атаках по обширной площади, которые он может комбинировать с техниками.<br><br>Некоторые Фотон Арты рода фантома генерирующие<br>дополнительные действия при нажатии<br>и удерживании кнопки Фотон Арта, а некоторые<br>могут атаковать вместе с техниками."""
text0002#1,"""Род фантома способен стрелять \""Photon Bullet\""<br>с помощью действия оружия, а также может<br>восстанавилвать PP при атаке на большом расстоянии.<br><br>Кроме того, зарядка оружия превращает её<br>в дальнюю атаку, благодаря чему<br>она становится мощной против групп врагов."""
text0003#1,"""Оружие фантома способно активировать<br>Shift Фотон Арты, отличающиеся от основных<br>Фотон Артов. Активируются при использовании<br>Shift Фотон Артов сразу после обычных<br>Фотон Артов.<br><br>Это атака с другим эффектом отличающимся<br>от обычного, поэтому старайтесь использовать<br>её в зависимости от ситуации.<br><br><c ffff00>※Shift Фотон Арт нельзя активировать<br>при предварительной зарядке Фотон Артов.<c>"""
text0004#0,"""Атака с техникой<br><br>Если вы используете технику с родом, в этот<br>же момент вы проведёте атаку, известную как<br>\""Атака с техникой\"".<br><br>Есть два типа таких атак: дальняя и ближняя,<br>и какая из них будет использована, зависит<br>от техник.<br><br>Атака с техникой может восстанавливать PP<br>при попадании.<br><c ffff00>※Некоторые техники не имеют такой атаки.<c>"""
Title#2,"""Катана фантома"""
text0001#2,"""При экипировке катаны, фантом выполняет<br>атаки и Фотон Арты \""Phantom Katana\""<br>вместо обычных атак катаной.<br><br>Катана фантома обладает высокой мобильностью,<br>и многие из её Фотон Артов сосредоточены на атаке<br>по одной цели.<br>Если вы научитесь эффективно комбинировать свои<br>Фотон Арты, то сможете передвигаться, нанося<br>огромный урон."""
text0002#2,"""Действие оружия катаны фантома позволяет<br>уклоняясь наносить удары, то есть<br>вести полноценный бой от защиты.<br><br>Кроме того, заряженное действие оружия<br>представляет собой мощный одиночный удар,<br>эффективный против крупных целей, таких как боссы."""
text0003#2,"""Оружие фонтома способно активировать<br>Shift Фотон Арты, отличающиеся от основных<br>Фотон Артов. Активируются при использовании<br>Shift Фотон Артов сразу после обычных<br>Фотон Артов.<br><br>Это атака с другим эффектом отличающимся<br>от обычного, поэтому старайтесь использовать<br>её в зависимости от ситуации.<br><br><c ffff00>※Shift Фотон Арт нельзя активировать<br>при предварительной зарядке Фотон Артов.<c>"""
Title#3,"""Винтовка фантома"""
