text10#0,"""Сражение за рейтинг"""
text20#0,"""Приватное сражение"""
text30#0,"""Боевые ранги"""
text40#0,"""Боевой рейтинг"""
text50#0,"""Как проерить свой рейтинг"""
text90#0,"""Назад"""
Title#0,"""Рейтинговые матчи"""
text0001#0,"""Сражение за рейтинг - боевой режим с произвольным<br>подбором участников <c ffff00>во всех блоках<br>боевого лобби<c>.<br><br>При подборе в этом режиме вы всегда будете<br>зарабатывать боевые монеты (Battle Coins),<br>но ваши очки арены (Arena Points) и ваш ранг<br>могут повышаться или понижаться в зависимости<br>от победы/проигрыша."""
Title#1,"""Приватное сражение"""
text0001#1,"""Приватное сражение позволяет сыграть матч<br>исключительно с теми людьми, которые введут тот же<br>пароль, что и вы. <br><c ff4f3f>※Для начала игры вам потребуется 4-6 игроков для<br>однй команды (в зависимости от квеста).<c><br><br><c ff4f3f>При игре в этом режиме вы всегда будете<br>зарабатывать боевые монеты (Battle Coins),<br>но ваши очки арены (Arena Points) не изменятя.<c><br><br><c ffff00>В этом режиме отсутствует опция реванша в конце<br>боя. Когда бой закончится, вы вернётесь в лобби.<c>"""
text0002#0,"""<c 00b0f0>Если вы хотите ограничить подбор для всех<br>12 игроков, а не только для вашей команды,<c><br><c ffff00>перед началом подбора введите предпочтительный<br>пароль и установите флажок рядом с<br>\""Стороне соперника также требуется пароль\""<c>.<br><br>※Если вы не введёте пароль или не установите<br>флажок, то встанете на подбор с другими игроками,<br>которые тоже не ввели пароль."""
text0003#0,"""Если обе команды используют один и тот же пароль,<br><yellow>вы можете указать, к какой команде относитесь,<br>просто добавив тег цвета в конце пароля<c>.<br>Вам не нужно добавлять тег, если не хотите.<br><br>●Чтобы вступить в Союз Красных:<br>#red<br><br>●Чтобы вступить в Союз Синих:<br>#blue<br><br>■ Пример:<br>Если вы введёте <c ff9c70>TestPass#red<c> в качестве пароля,<br>то вами будет указано в качестве пароля<br>\""TestPass\"" и то, что вы хотите присоедениться<br>к Союзу Красных."""
text0004#0,"""Если обе команды используют один и тот же пароль,<br><yellow>вы можете указать, к какой команде относитесь,<br>просто добавив тег цвета в конце пароля<c>.<br>Вам не нужно добавлять тег, если не хотите.<br><br>●Чтобы вступить в Союз Красных:<br>#red<br><br>●Чтобы вступить в Союз Синих:<br>#blue<br><br>■ Пример:<br>Если вы введёте <c ff9c70>TestPass#red<c> в качестве пароля,<br>то вами будет указано в качестве пароля<br>\""TestPass\"" и то, что вы хотите присоедениться<br>к Союзу Красных."""
Title#2,"""Боевые ранги"""
text0001#2,"""По окончании матча сражения за рейтинг, ваши<br>очки арены будут увеличиваться и уменьшаться<br>в зависимости от победы/проигрыша, и ваш рейтинг<br>соответствующе изменится.<br><br>Рейтинг зависит от того, сколько у вас<br>очков арены.<br><br><c ffff00>Чем выше рейтинг, тем больше боевых монет<br>вы заработаете с окончанием боя.<c>"""
text0002#1,"""Очки арены также определяют вашу текущую позицию<br>в текущем рейтинге, который удерживается<br>в течение определённого промежутка времени.<br><br><c ffff00>С окончанием установленного периода, вы получите<br>награду в зависимости от вашего рейтинга.<c>"""
Title#3,"""Боевой рейтинг"""
text0001#3,"""На боевой арене рейтинговые периоды длятся<br><c ffff00>с 6:00 JST 1-го числа каждого месяца до 6:00<br>1-го числа следующего месяца.<c><br><br>По окончании рейтингового периода, вы получите<br>набор наград в зависимости от достигнутого ранга,<br>который вы сможете получить у <c 00b0f0>Мими,<br>администратора Лиги ARKS<c>."""
text0002#2,"""<c ff4f3f>Кроме того, с окончанием рейтингового периода<br>ваш ранг спросится на более низкий в зависимости<br>от текущего.<c><br><br> ◆LEGEND ⇒ S1<br> ◆S1 ~ S4 ⇒ S5<br> ◆S5 ⇒ A1<br> ◆A1 ~ A4 ⇒ A5<br> ◆A5 ⇒ B1<br> ◆B1 ~ B4 ⇒ B5<br> ◆B5 ⇒ C1<br> ◆C1 ~ C4 ⇒ C5<br> ◆C5 ⇒ D1<br> ◆D1 ~ D4 ⇒ D5<br> ◆D5 ⇒ Останется на D5"""
Title#4,"""Как проерить свой рейтинг"""
text0001#4,"""Информацию о рейтинге можете проверить в:<br><c 00b0f0>Главное Меню ⇒ Информация контента ⇒ Инфо боевой<br>арены<c>.<br><br>Если хотите своё положение в рейтинговой таблице<br>или проверить раннюю информацию о рейтинге,<br><c 00b0f0>то можете подойти к монументу в лобби битв<c>."""
