name01#0,"""Xiera"""
text01#0,"""You can Counter attacks by <red>Guarding against them with perfect timing<c>, preventing all damage and hitting back with a counterattack!"""
text02#0,"""It's similar to Hunter's Just Guard, but you can think of it as more of a <red>defensive-offense move<c>."""
text03#0,"""Watch the enemy's movement carefully, and try to <red>Counter<c> their attacks."""
text101#0,"""Task 2: <yellow>Perform 3 Katana Counters"""
train_title#0,"""Task 2: <yellow>Perform 3 Katana Counters"""
tut_title#0,"""Countering"""
text100#0,"""・Just before an attack hits you,<br>\u3000Guard with <%WeaponAction>"""
text100_3b#0,"""・Just before an attack hits you,<br>\u3000Guard with <%MainPaletteC>"""
tut_win_title#0,"""Countering"""
tut_win_text100#0,"""When you are equipped with a Katana, you can press the Weapon Action button to <c 00ffff>Guard<c>.<br><br>This reduces damage you take from the front, but be aware that attacks from the side or from behind cannot be guarded against."""
tut_win_text101#0,"""Guarding right before an enemy attack hits you causes a \""Counter\"", which reduces the damage you take to 0 and responds with a counterattack."""
tut_win_text102#0,"""Also, if you perform a Counter when at maximum Gear level, you will receive a bonus to attack power and critical hit rate for a short time."""
