name_ai#0,"""MAI001"""
name_7013#0,"""อิลม่า"""
ssn_015966_0010#0,"""ขอบใจที่มานะ<br>เข้าเรื่องเลยแล้วกัน เกี่ยวกับ Data Chip อันนั้นน่ะ......"""
ssn_015966_0020#0,"""ดูเหมือนว่ามันจะถูกสร้างขึ้นมาตั้งแต่ก่อนที่<br>Lost Central จะทำหน้าที่เป็นเมืองหลักซะอีกนะ"""
ssn_015966_0030#0,"""แสดงว่าเป็นข้อมูลที่เก่าแก่มากเลยทีเดียว<br>น่าจะสักหลายร้อยปีก่อนได้มั้ง"""
ssn_015966_0040#0,"""อื้ม มันเสียหายค่อนข้างหนัก เลยกู้คืนมาได้แค่บางส่วนน่ะ<br>แต่ก็พยายามทำให้ Device สามารถอ่านค่ามันได้แล้วล่ะ"""
ssn_015966_0050#0,"""ดูเหมือนว่ามันจะเป็นข้อมูลเสริม<br>ที่ทำให้ Mag สามารถสื่อสารโต้ตอบได้น่ะ"""
ssn_015966_0060#0,"""ฉันส่งข้อมูลไปที่ Mag ของเธอแล้ว<br>ลองตรวจสอบดูหน่อยสิ"""
ssn_015966_0070#0,"""เข้าใจแล้ว"""
ssn_015966_0080#0,"""……ระบบ M.A.I. เริ่มต้นทำงาน ไม่ทราบเวลา TYO ปัจจุบัน"""
ssn_015966_0090#0,"""พบข้อมูลเสียหายจำนวนมาก เริ่มทำการซ่อมแซมระบบ……"""
ssn_015966_0100#0,"""สวัสดีค่ะ คุณ <%me><br>ฉันคือ MAI001 จาก 『M.A.I.』 ค่ะ"""
ssn_015966_0110#0,"""หากมีธุระอะไร เชิญพูดคุยกับฉันได้เลยนะคะ<br>ฉันจะเรียนรู้จากการสนทนากับคุณ เพื่อให้สามารถเสนอแนะสิ่งที่ดีกว่าได้ค่ะ"""
ssn_015966_0120#0,"""ดูเหมือนจะเปิดใช้งานได้สำเร็จนะ……<br>ไม่นึกเลยว่า Mag จะทำเรื่องแบบนี้ได้ด้วย"""
ssn_015966_0130#0,"""อย่างที่ (MAI001) บอกไปนั่นแหละ ข้อมูลมันเสียหายไปเยอะมาก<br>คงต้องตรวจสอบดูว่าระบบการทำงานดั้งเดิมของมันเป็นยังไงน่ะ"""
ssn_015966_0140#0,"""แถมเธอยังดูเหมือนจะมีความรู้และคำศัพท์ที่ฉันเองก็ไม่เข้าใจด้วย<br>อาจจะเป็นความรู้ในยุคที่ชิปนี้ถูกสร้างขึ้นมาก็ได้นะ……"""
ssn_015966_0150#0,"""ยังไงก็ตาม ดูเหมือนว่ามันจะเป็นโปรแกรมที่เรียนรู้ได้ด้วยตัวเอง<br>ฉันเลยอยากจะฝากข้อมูลนี้ไว้กับเธอที่ต้องเดินทางไปหลายๆ ที่น่ะ"""
ssn_015966_0160#0,"""เข้าใจล่ะ<br>อาจจะมีคำพูดที่เธอคนเดียวเท่านั้นที่สามารถเข้าใจได้ด้วยก็ได้นะ"""
ssn_015966_0170#0,"""อิลม่า ฝากวิเคราะห์ข้อมูลต่อไปด้วยนะ<br>ส่วนเธอ ฉันขอฝากให้รวบรวมข้อมูลผ่านการพูดคุยกับ 『M.A.I.』 ด้วยล่ะ"""
ssn_015966_0180#0,"""อ้อ ใช่ มีข้อควรระวังอยู่อย่างนึง ดูเหมือนโครงสร้างของ MAI001 จะค่อนข้างบอบบางนะ<br>ในตอนนี้อยากให้หลีกเลี่ยงการใช้งานในพื้นที่ที่อาจเกิดการต่อสู้ขึ้นน่ะ"""
ssn_015966_0190#0,"""ก็จริงนะ พูดคุยกันในที่ปลอดภัยน่าจะดีกว่า<br>โทษทีนะ แต่รบกวนให้ย้ายไปที่เมืองหรือค่ายก่อนได้ไหม"""
ssn_015966_0200#0,"""มีอะไรอยากจะถามไหม?"""
ssn_015966_0210#0,"""ไปเจอ Data Chip ที่ไหนเหรอ?"""
