AiPartner_DefaultName#0,"""MAI001"""
AiPartner_OutOfService#0,"""ขณะนี้อยู่ในสถานะไม่สามารถตอบสนองได้"""
AiPartner_ResponseTimeout#0,"""ขณะนี้อยู่ในสถานะไม่สามารถตอบสนองได้"""
AiPartner_ResponseWait#0,"""ขณะนี้กำลังรอการตอบสนอง โปรดรอสักครู่"""
AiPartner_EnableArea#0,"""เพื่อความปลอดภัย ระบบพูดคุยสามารถใช้งานได้เฉพาะในพื้นที่ปลอดภัย เช่น City หรือ<br>Creative Space เท่านั้น"""
AiPartner_RateLimit#0,"""ขณะนี้ถึงขีดจำกัดการสนทนาแล้ว (เวลาที่ต้องรอ $(0) นาที)"""
Timeband_BeforeDawn#0,"""ก่อนรุ่งสาง"""
Timeband_EarlyMorning#0,"""เช้าตรู่"""
Timeband_Morning#0,"""เช้า"""
Timeband_BeforeNoon#0,"""ก่อนเที่ยง"""
Timeband_Afternoon#0,"""บ่าย"""
Timeband_Night#0,"""กลางคืน"""
Weather_Bad#0,"""สภาพอากาศเลวร้าย"""
Weather_Fine#0,"""แจ่มใส"""
Weather_Rain#0,"""ฝนตก"""
Weather_Thunder#0,"""ฟ้าคะนอง"""
Weather_Storm#0,"""พายุ"""
Weather_Snow#0,"""หิมะตก"""
Weather_Cloudy#0,"""มีเมฆมาก"""
Weather_Heat#0,"""ร้อนจัด"""
Weather_Dust#0,"""พายุทราย"""
Weather_Meteor#0,"""ฝนดาวตก"""
Weather_Aurora#0,"""ออโรร่า"""
Weather_Makai#0,"""แดนปีศาจ"""
