name_7616#0,"""Martha"""
ssn_014660_0001#0,"""โอ๊ะ เธอคือ Meteorn คนใหม่สินะ!"""
ssn_014660_0002#0,"""บรรยากาศที่ Rest Corner ดีใช่ไหมล่ะ? พวกเรามักจะมาพักผ่อนที่นี่กันเป็นประจำเลย"""
ssn_014660_0101#0,"""ช่วงนี้เธอเป็นที่พูดถึงกันมากเลยล่ะ ต้องสุดยอดมากแน่ๆ ถึงได้มีข่าวลือมาถึงนี่"""
ssn_014660_0102#0,"""การต่อสู้มันก็ดีอยู่หรอก แต่ต้องมี 'สไตล์' เป็นของตัวเองให้เข้ากันด้วย เธอคิดเหมือนกันไหมล่ะ?"""
ssn_014660_0103#0,"""เคยไป Salon หรือยัง? ถ้ายังไม่เคยล่ะก็ เดี๋ยวแนะนำให้เอง!"""
ssn_014660_0201#0,"""Salon เป็นที่ที่คุณสามารถสนุกกับการปรับแต่งหน้าตาของตัวเองได้"""
ssn_014660_0202#0,"""ลองไปดูสักหน่อยไหม? รับรองว่าไม่ผิดหวังแน่นอน!"""
ssn_014660_0301#0,"""โธ่ ไม่สนุกเลย!"""
ssn_014660_0302#0,"""เอาที่สบายใจเลยละกัน! ไว้โอกาสหน้าก็แล้วกันนะ"""
ssn_014660_0401#0,"""อ๊ะ มาถึงแล้วสิ"""
ssn_014660_0402#0,"""เอาล่ะ ที่เหลือก็แค่ไปสนุกซะ! ถ้าเปลี่ยนลุคใหม่แล้วก็อย่าลืมมาอวดพวกเราด้วยล่ะ!"""
ssn_014660_0501#0,"""Salon สุดยอดไปเลยใช่ไหมล่ะ?"""
ssn_014660_0502#0,"""เดี๋ยวพวกเราก็ว่าจะแวะไป Salon เหมือนกัน!"""
