IncidentName#0,"""Replenish the Energy Pods!"""
TrialBeginMsg#0,"""Replenish the Energy Pods!<br>Defend from enemy attacks!"""
TrialAbstract#0,"""Replenish the Energy Pods!<br>Defend from enemy attacks!"""
ChanceTime#0,"""Enemies repelled!<br>Recover Energy Crystals!"""
NpcComOnBegin#0,"""Your goal in this training is to collect Energy Crystals to refill the Energy Pods."""
NpcComOnContainerPop#0,"""Now transferring Energy Pods and Energy Crystals.<br>Enemies are targeting the Energy Pods, so defeat them."""
NpcComOnTargetPosition#0,"""Energy Pods are being targeted.<br>Defend $(1) at $(0) and $(3) at $(2)."""
NpcComOnBossTargetPosition#0,"""A large enemy has appeared at $(0).<br>The $(1 )Energy Pod is being targeted."""
NpcComOnTimeLimit30#0,"""30 seconds remain for this training.<br>If you can fill the pods or survive for that time, you will clear the Quest."""
NpcComOnSuccess#0,"""Energy Pod replenishment complete.<br>Thank you very much."""
NpcComOnFailure#0,"""The Energy Pods have been filled.<br>This training is now complete.<br>Thank you very much."""
NpcComGaugeHp25#0,"""The Energy Pods have reached 25% full.<br>Collect Energy Crystals and replenish them."""
NpcComGaugeHp50#0,"""The Energy Pods have reached 50% full.<br>Replenishment is halfway complete.<br>Please continue to do your best."""
NpcComGaugeHp75#0,"""The Energy Pods have reached 75% full.<br>The end is finally in sight.<br>Doesn't that feel good?"""
NpcComGaugeHp90#0,"""The Energy Pods have reached 90% full.<br>The tank is a hair's breadth from being full.<br>This is the final sprint."""
NpcComOnBegin#1,"""Your goal in this training is to collect Energy Crystals to refill the Energy Pods."""
NpcComOnContainerPop#1,"""/atime2.5 /voice11_voice_navi23_bou_02 Now transferring Energy Pods and Energy Crystals.<br>Enemies are targeting the Energy Pods, so defeat them."""
NpcComOnTargetPosition#1,"""/atime2.5 /voice11_voice_navi23_bou_07 Energy Pods are being targeted.<br>Defend $(1) at $(0) and $(3) at $(2)."""
NpcComOnBossTargetPosition#1,"""/atime2.5 /voice11_voice_navi23_bou_08 A large enemy has appeared at $(0).<br>The $(1) Energy Pod is being targeted."""
NpcComOnTimeLimit30#1,"""/atime2.5 /voice11_voice_navi23_bou_09 30 seconds remain for this training.<br>If you can fill the pods or survive for that time, you will clear the Quest."""
NpcComOnSuccess#1,"""Energy Pod replenishment complete.<br>Thank you very much."""
NpcComOnFailure#1,"""The Energy Pods have been filled.<br>This training is now complete.<br>Thank you very much."""
NpcComGaugeHp25#1,"""/atime2.5 /voice11_voice_navi23_bou_03 The Energy Pods have reached 25% full.<br>Collect Energy Crystals and replenish them."""
NpcComGaugeHp50#1,"""/atime2.5 /voice11_voice_navi23_bou_04 The Energy Pods have reached 50% full.<br>Replenishment is halfway complete.<br>Please continue to do your best."""
NpcComGaugeHp75#1,"""/atime2.5 /voice11_voice_navi23_bou_05 The Energy Pods have reached 75% full.<br>The end is finally in sight.<br>Doesn't that feel good?"""
NpcComGaugeHp90#1,"""The Energy Pods have reached 90% full.<br>The tank is a hair's breadth from being full.<br>This is the final sprint."""
