a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""Decisive Battle: Final Target"""
Explanation#0,"""敵大型戦艦を舞台に<br>最終標的と定めた強大なエネミーと<br>対決し、撃破することが目的です。<br>全力を出し切り、制限時間内での<br>撃破を目指してください。<br>――――――――――――――――――――<br>成功条件／Ｅトライアルのクリア<br>失敗条件／ライフポイントが０になる"""
SimpleExplanation#0,"""Defeat the final target!"""
NpcComMsg1#0,"""ここまで、お疲れさまでした。<br>いよいよ今回の最終決戦となりますが<br>ＶＲだからって、馬鹿にできませんよ。"""
NpcComMsg2#0,"""シャオさんの演算結果をもとに<br>わたしとカリンお姉ちゃんで実装した<br>すっごい強敵です。楽しみですね。"""
NpcComMsg3#0,"""制限時間と残りライフポイントには<br>くれぐれも、気をつけてくださいね。<br>それでは、ファイトです。"""
Area0S#0,"""Enemy Battleship: Deck"""
Area0L#0,"""Enemy Battleship: Deck"""
